id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6388,Dowtin Jr,Jeff,7.41,PHI,G,BOS,10.00,3.17,0.28,1.07,1.26,0.36,0.14,0.25,0.94,0.45,0.17,1.22,1.50,0.00,0.000,Active,
6522,Terry,Dalen,7.20,CHI,G,@ DET,11.00,3.50,0.34,1.10,0.63,0.51,0.24,0.59,0.94,0.60,0.17,1.28,1.43,0.00,0.000,Questionable,
6860,Nance,Pete,6.93,PHI,F,BOS,10.00,2.89,0.43,1.89,0.63,0.17,0.18,0.36,0.67,0.26,0.12,1.10,1.73,0.00,0.000,Active,
3076,Temple,Garrett,6.91,TOR,G,LAC,11.00,2.47,0.38,1.36,0.99,0.50,0.17,0.56,0.48,0.37,0.10,0.86,1.46,0.00,0.000,,
6537,Rollins,Ryan,6.89,MIL,G,MEM,8.00,2.77,0.36,1.26,0.86,0.49,0.19,0.58,0.68,0.33,0.08,1.04,1.44,0.00,0.000,,
6953,Tyson,Jaylon,4.00,CLE,G,DAL,5.00,1.56,0.18,1.09,0.45,0.16,0.06,0.26,0.40,0.22,0.08,0.58,0.79,0.00,0.000,,
6520,Beauchamp,MarJon,3.90,MIL,F,MEM,5.00,1.87,0.25,1.03,0.26,0.14,0.06,0.34,0.46,0.20,0.07,0.71,0.92,0.00,0.000,,
6766,Walsh,Jordan,3.51,BOS,F,@ PHI,6.00,1.28,0.23,0.98,0.24,0.21,0.11,0.23,0.22,0.15,0.09,0.45,0.72,0.00,0.000,,
6586,Williams Jr.,Vince,0.00,MEM,G,@ MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
3932,LaVine,Zach,0.00,CHI,G,@ DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Questionable,
6303,Duarte,Chris,0.00,CHI,G,@ DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6312,Queta,Neemias,0.00,BOS,C,@ PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6990,Chomche,Ulrich,0.00,TOR,F,LAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6150,Okoro,Isaac,0.00,CLE,G,DAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,
5042,Portis,Bobby,0.00,MIL,F,MEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,
6168,Tillman,Xavier,0.00,BOS,F,@ PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3111,George,Paul,0.00,PHI,F,BOS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
5577,Craig,Torrey,0.00,CHI,F,@ DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
6534,Moore,Wendell,0.00,DET,G,CHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3400,Thompson,Tristan,0.00,CLE,F,DAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6547,Davison,J.D.,0.00,BOS,G,@ PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
5699,Carter,Jevon,0.00,CHI,G,@ DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3369,Irving,Kyrie,0.00,DAL,G,@ CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,
5977,Gafford,Daniel,0.00,DAL,F,@ CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,
