"nba_id","Team","Player","Experience","DPM","DPM Improvement","O-DPM","D-DPM","Box DPM","Box O-DPM","Box D-DPM","FGA/100","FG2%","FG3A/100","FG3%","FG3ARate%","RimFGA/100","RimFG%","FTA/100","FT%","FTARate%","USG%","REB/100","AST/100","AST%","BLK/100","BLK%","STL/100","STL%","TOV/100"
1629680,"Portland Trail Blazers","Matisse Thybulle","Vet",0.06,0.25,-1.33,1.39,0.89,-0.83,1.72,11.47,0.552,7.656,0.339,0.633,2.09,0.666,1.039,0.668,0.105,0.114,5.466,3.338,0.107,1.529,0.017,3.278,0.033,1.478
1626174,"Los Angeles Lakers","Christian Wood","Vet",0.04,-0.65,-0.63,0.68,0.04,0.01,0.03,18.331,0.549,6.801,0.332,0.392,4.712,0.719,5.023,0.675,0.314,0.177,13.964,3.117,0.097,1.907,0.02,1.37,0.012,2.696
1628988,"Houston Rockets","Aaron Holiday","Vet",0.04,-0.03,-0.14,0.18,-1.02,0.07,-1.09,15.504,0.511,9.981,0.365,0.646,1.813,0.626,1.917,0.827,0.156,0.156,4.672,5.803,0.178,0.388,0.004,1.831,0.018,2.117
1630167,"Indiana Pacers","Obi Toppin","Vet",0.03,-0.06,0.77,-0.73,0.92,1.01,-0.09,17.243,0.64,8.661,0.369,0.485,6.272,0.76,2.509,0.791,0.168,0.183,9.369,4.037,0.118,1.055,0.012,1.419,0.014,1.907
1631207,"Chicago Bulls","Dalen Terry","Vet",0.02,0.71,-1.12,1.14,0.19,-1.11,1.3,10.644,0.589,4.177,0.307,0.412,5.108,0.678,2.854,0.689,0.231,0.119,6.754,3.723,0.109,1.122,0.013,1.955,0.02,2.181
1630174,"Indiana Pacers","Aaron Nesmith","Vet",0.02,1.26,0.02,-0.01,-0.39,-0.21,-0.18,13.922,0.543,6.186,0.374,0.447,4.462,0.681,3.562,0.78,0.251,0.164,7.616,2.872,0.085,0.937,0.01,1.557,0.016,2.111
1628969,"New York Knicks","Mikal Bridges","Vet",0.01,-0.63,0.78,-0.77,0.33,0.54,-0.21,18.786,0.531,8.889,0.371,0.452,2.941,0.694,2.05,0.805,0.141,0.188,5.269,4.293,0.113,0.61,0.007,1.499,0.015,1.682
1630560,"Brooklyn Nets","Cam Thomas","Vet",-0.01,1.16,1.7,-1.72,0.61,2.42,-1.81,26.865,0.491,11.279,0.366,0.429,4.638,0.63,9.215,0.828,0.338,0.308,5.181,5.16,0.175,0.336,0.004,1.229,0.012,3.825
1629130,"Miami Heat","Duncan Robinson","Vet",-0.03,0.02,0.18,-0.21,-0.14,0.5,-0.64,19.066,0.55,13.256,0.387,0.688,2.882,0.694,1.874,0.847,0.112,0.192,4.913,4.739,0.138,0.371,0.004,1.345,0.013,2.295
1629632,"Chicago Bulls","Coby White","Vet",-0.04,-0.28,1.09,-1.13,-1.15,0.47,-1.62,20.51,0.517,11.888,0.357,0.588,4.196,0.646,3.443,0.826,0.186,0.216,5.393,6.851,0.204,0.307,0.003,1.268,0.012,2.701
1629660,"Cleveland Cavaliers","Ty Jerome","Vet",-0.04,1.83,0.77,-0.81,0.48,1.13,-0.65,18.897,0.557,7.92,0.355,0.408,5.173,0.62,4.422,0.86,0.243,0.21,5.279,8.563,0.261,0.277,0.003,2.261,0.023,3.265
1630188,"Chicago Bulls","Jalen Smith","Vet",-0.04,1.13,0.08,-0.12,0.65,0.35,0.3,17.674,0.598,10.109,0.346,0.558,5.777,0.732,4.193,0.726,0.221,0.199,15.006,2.457,0.068,2.137,0.025,1.108,0.011,1.887
1630168,"Atlanta Hawks","Onyeka Okongwu","Vet",-0.06,-1.48,0.16,-0.22,-0.05,0.09,-0.14,15.546,0.644,1.719,0.323,0.136,9.445,0.732,5.083,0.769,0.345,0.176,13.624,2.801,0.081,1.681,0.019,1.347,0.014,1.974
1631157,"Milwaukee Bucks","Ryan Rollins","Vet",-0.08,1.93,-1.64,1.55,-0.15,-1.71,1.56,18.306,0.48,7.978,0.338,0.457,3.735,0.64,4.494,0.745,0.205,0.206,7.338,5.606,0.166,1.366,0.017,2.842,0.029,3.448
1629622,"Cleveland Cavaliers","Max Strus","Vet",-0.09,0.76,-0.34,0.26,-0.99,-0.87,-0.12,13.478,0.508,9.421,0.359,0.692,3.19,0.662,1.642,0.774,0.129,0.15,7.42,5.612,0.152,0.404,0.005,1.452,0.014,2.233
1631099,"Sacramento Kings","Keegan Murray","Vet",-0.09,0.88,-0.14,0.05,-1.53,-0.74,-0.79,15.081,0.555,7.258,0.375,0.49,2.781,0.711,1.706,0.809,0.121,0.152,9.321,2.506,0.066,1.178,0.014,1.328,0.013,1.334
1629631,"Atlanta Hawks","De'Andre Hunter","Vet",-0.1,1.05,0.86,-0.95,-0.74,0.54,-1.28,21.413,0.519,10.103,0.381,0.456,4.55,0.655,6.783,0.836,0.298,0.225,6.147,2.72,0.075,0.449,0.005,1.214,0.012,2.252
1631222,"Memphis Grizzlies","Jake LaRavia","Vet",-0.1,1.43,-0.6,0.5,-0.12,-0.68,0.56,13.055,0.527,5.39,0.341,0.416,4.78,0.633,4.424,0.755,0.361,0.156,8.92,5.694,0.15,1.114,0.012,1.807,0.018,2.821
1629723,"Memphis Grizzlies","John Konchar","Vet",-0.1,0.25,-1.75,1.64,0.04,-1.48,1.52,7.748,0.542,5.427,0.332,0.674,2.071,0.684,0.935,0.731,0.153,0.092,10.865,3.794,0.113,1.678,0.02,2.3,0.023,1.668
203458,"Sacramento Kings","Alex Len","Vet",-0.11,1.07,-2.37,2.26,-1.38,-2.86,1.48,8.86,0.572,1.25,0.262,0.057,4.479,0.723,2.888,0.596,0.287,0.111,13.574,4.977,0.134,2.975,0.033,1.272,0.012,2.84
