first_name,last_name,position,position_alt,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,ppg_projection,value_projection,ppg_actual,value_actual
Jalen,Wilson,SF,,,2024-12-21,,BKN,UTA,-2.5,220.5,111.5,4600,7,19.8,18.3,17.3,20.8,4.51
Daniel,Gafford,C,,,2024-12-21,,DAL,LAC,-4.5,221.5,113,4300,14,19.5,24.2,24.9,20.8,4.83
Brandin,Podziemski,PG,SG,,2024-12-21,,GSW,MIN,+4.5,215.5,105.5,4200,8,21.3,24.1,21.4,20.5,4.88
Sam,Hauser,SF,PF,Q,2024-12-21,,BOS,CHI,-9.5,240.5,125,4500,23,22.8,18.6,17.7,20.3,4.50
Jordan,Hawkins,PG,SG,,2024-12-21,,NO,NY,+8.5,224.5,108,4500,11,11.5,18.6,20.4,20.3,4.50
Noah,Clowney,PF,C,,2024-12-21,,BKN,UTA,-2.5,220.5,111.5,4500,6,18.3,17.1,15.2,20.0,4.44
Corey,Kispert,SG,SF,,2024-12-21,,WAS,MIL,+11.5,227.5,108,4300,25,19.1,20.6,19.5,20.0,4.65
Larry,Nance Jr.,PF,C,,2024-12-21,,ATL,MEM,+2.5,240.5,119,4300,12,24.7,18.7,19.9,19.8,4.59
Marcus,Smart,PG,SG,Q,2024-12-21,,MEM,ATL,-2.5,240.5,121.5,4100,27,18.2,22.6,21.3,19.8,4.82
Brandon,Clarke,PF,C,,2024-12-21,,MEM,ATL,-2.5,240.5,121.5,4000,27,26.6,22.9,17.8,19.5,4.88
Harrison,Barnes,SF,PF,,2024-12-21,,SA,POR,-6.5,227.5,117,4300,5,18.8,17.8,20.1,19.5,4.53
Talen,Horton-Tucker,SF,,,2024-12-21,,CHI,BOS,+9.5,240.5,115.5,4300,2,11.9,17.0,13.3,19.3,4.48
Jalen,Smith,C,,,2024-12-21,,CHI,BOS,+9.5,240.5,115.5,4100,1,21.9,20.3,18.4,19.3,4.70
Luke,Kornet,C,,,2024-12-21,,BOS,CHI,-9.5,240.5,125,4200,22,17.1,17.9,15.5,19.0,4.52
Patrick,Williams,PF,,,2024-12-21,,CHI,BOS,+9.5,240.5,115.5,3900,30,14.4,23.0,21.5,19.0,4.87
Georges,Niang,SF,PF,,2024-12-21,,CLE,PHI,-12.5,217.5,115,4200,19,20.8,18.0,17.2,19.0,4.52
Miles,McBride,PG,SG,,2024-12-21,,NY,NO,-8.5,224.5,116.5,4000,20,20.0,21.2,21.2,19.0,4.75
Kentavious,Caldwell-Pope,SG,,,2024-12-21,,ORL,MIA,-2.5,208.5,105.5,4000,18,16.2,21.3,18.2,19.0,4.75
Duncan,Robinson,SG,,,2024-12-21,,MIA,ORL,+2.5,208.5,103,4000,4,23.6,21.6,19.3,19.0,4.75
Keon,Johnson,PG,SG,,2024-12-21,,BKN,UTA,-2.5,220.5,111.5,4200,26,12.2,15.6,12.6,18.5,4.40
Day'Ron,Sharpe,C,,,2024-12-21,,BKN,UTA,-2.5,220.5,111.5,4100,30,18.3,16.6,17.4,18.5,4.51
Lonzo,Ball,PG,SG,,2024-12-21,,CHI,BOS,+9.5,240.5,115.5,4000,17,21.0,19.0,18.5,18.5,4.63
Dru,Smith,PG,,,2024-12-21,,MIA,ORL,+2.5,208.5,103,4100,18,19.0,16.2,15.2,18.3,4.45
Dalano,Banton,PG,SG,Q,2024-12-21,,POR,SA,+6.5,227.5,110.5,3900,21,17.5,19.8,19.3,18.3,4.68
Kris,Dunn,PG,SG,,2024-12-21,,LAC,DAL,+4.5,221.5,108.5,3900,4,18.5,17.7,19.0,18.0,4.62
AJ,Green,PG,SG,,2024-12-21,,MIL,WAS,-11.5,227.5,119.5,4100,30,12.9,15.0,14.2,18.0,4.39
Nickeil,Alexander-Walker,SG,SF,,2024-12-21,,MIN,GSW,-4.5,215.5,110,3700,28,19.1,21.9,19.5,18.0,4.86
Tristan,da Silva,SF,PF,,2024-12-21,,ORL,MIA,-2.5,208.5,105.5,4100,25,15.2,14.9,15.8,18.0,4.39
Jake,LaRavia,SF,PF,,2024-12-21,,MEM,ATL,-2.5,240.5,121.5,3800,11,17.8,18.7,22.1,17.8,4.67
KJ,Martin,PF,,,2024-12-21,,PHI,CLE,+12.5,217.5,102.5,3900,24,16.4,17.4,13.3,17.8,4.55
Jaime,Jaquez Jr.,SF,PF,,2024-12-21,,MIA,ORL,+2.5,208.5,103,3800,4,13.8,18.6,20.1,17.8,4.67
Derrick,Jones Jr.,PF,,,2024-12-21,,LAC,DAL,+4.5,221.5,108.5,3800,17,16.1,17.8,18.6,17.5,4.61
Amir,Coffey,SF,PF,,2024-12-21,,LAC,DAL,+4.5,221.5,108.5,3700,10,22.6,19.1,17.6,17.5,4.73
Kevon,Looney,C,,,2024-12-21,,GSW,MIN,+4.5,215.5,105.5,3800,23,16.3,18.2,19.2,17.5,4.61
Zach,Collins,C,,,2024-12-21,,SA,POR,-6.5,227.5,117,4100,27,8.9,11.9,14.4,17.5,4.27
Jaylen,Wells,SG,SF,,2024-12-21,,MEM,ATL,-2.5,240.5,121.5,3700,27,14.6,18.3,19.6,17.3,4.66
Precious,Achiuwa,PF,C,,2024-12-21,,NY,NO,-8.5,224.5,116.5,3700,18,21.6,18.8,19.3,17.3,4.66
Charles,Bassey,C,,,2024-12-21,,SA,POR,-6.5,227.5,117,3800,27,20.7,16.8,13.2,17.3,4.54
Donte,DiVincenzo,PG,SG,,2024-12-21,,MIN,GSW,-4.5,215.5,110,3600,14,19.1,18.6,20.7,17.0,4.72
Tim,Hardaway Jr.,SG,SF,,2024-12-21,,DET,PHO,+6.5,225.5,109.5,3800,7,16.0,15.1,16.1,17.0,4.47
Zaccharie,Risacher,SF,,,2024-12-21,,ATL,MEM,+2.5,240.5,119,3600,27,12.9,17.6,19.9,16.8,4.65
Jeremiah,Robinson-Earl,PF,C,,2024-12-21,,NO,NY,+8.5,224.5,108,3600,8,12.2,17.5,16.5,16.8,4.65
Scotty,Pippen Jr.,PG,,,2024-12-21,,MEM,ATL,-2.5,240.5,121.5,3600,27,17.0,17.2,24.7,16.5,4.58
Kyle,Filipowski,PF,C,,2024-12-21,,UTA,BKN,+2.5,220.5,109,3400,28,12.8,19.8,16.1,16.5,4.85
Neemias,Queta,C,,,2024-12-21,,BOS,CHI,-9.5,240.5,125,3800,22,8.7,12.6,14.5,16.5,4.34
Matas,Buzelis,SF,PF,,2024-12-21,,CHI,BOS,+9.5,240.5,115.5,3600,2,14.4,16.1,11.5,16.5,4.58
Ty,Jerome,PG,,,2024-12-21,,CLE,PHI,-12.5,217.5,115,3400,3,14.5,20.5,21.1,16.5,4.85
Gary,Trent Jr.,SG,SF,,2024-12-21,,MIL,WAS,-11.5,227.5,119.5,3600,22,15.6,17.0,15.3,16.5,4.58
Haywood,Highsmith,SF,PF,,2024-12-21,,MIA,ORL,+2.5,208.5,103,3600,4,16.4,16.8,16.7,16.5,4.58
Cole,Anthony,PG,SG,,2024-12-21,,ORL,MIA,-2.5,208.5,105.5,3700,10,14.2,14.7,11.3,16.5,4.46
Mason,Plumlee,C,,,2024-12-21,,PHO,DET,-6.5,225.5,116,3700,15,13.8,15.2,15.7,16.5,4.46
Dean,Wade,SF,PF,,2024-12-21,,CLE,PHI,-12.5,217.5,115,3600,19,18.6,15.7,16.6,16.3,4.51
Jonathan,Isaac,PF,C,,2024-12-21,,ORL,MIA,-2.5,208.5,105.5,3500,4,12.6,17.1,17.0,16.3,4.64
Sam,Merrill,SG,,,2024-12-21,,CLE,PHI,-12.5,217.5,115,3500,10,15.9,16.1,14.5,16.0,4.57
Bones,Hyland,PG,,,2024-12-21,,LAC,DAL,+4.5,221.5,108.5,3500,4,22.2,15.9,14.1,16.0,4.57
Kyshawn,George,SF,PF,,2024-12-21,,WAS,MIL,+11.5,227.5,108,3600,20,10.8,14.1,19.0,16.0,4.44
Tyrese,Martin,SG,SF,,2024-12-21,,BKN,UTA,-2.5,220.5,111.5,3500,29,14.8,14.7,13.3,15.8,4.50
Lindy,Waters III,SG,SF,,2024-12-21,,GSW,MIN,+4.5,215.5,105.5,3500,1,15.1,14.8,13.5,15.8,4.50
Delon,Wright,PG,,,2024-12-21,,MIL,WAS,-11.5,227.5,119.5,3600,30,8.0,11.6,9.5,15.5,4.31
Trayce,Jackson-Davis,C,,,2024-12-21,,GSW,MIN,+4.5,215.5,105.5,3400,23,14.0,15.0,18.0,15.5,4.56
Kyle,Lowry,PG,SG,,2024-12-21,,PHI,CLE,+12.5,217.5,102.5,3600,12,5.6,10.8,14.8,15.3,4.24
Paul,Reed,C,,,2024-12-21,,DET,PHO,+6.5,225.5,109.5,3500,24,16.5,12.3,12.0,15.3,4.36
Ryan,Dunn,PF,,,2024-12-21,,PHO,DET,-6.5,225.5,116,3600,9,10.7,10.4,12.6,15.3,4.24
Taurean,Prince,SF,PF,,2024-12-21,,MIL,WAS,-11.5,227.5,119.5,3400,13,8.4,13.8,18.2,15.0,4.41
Javonte,Green,SF,PF,,2024-12-21,,NO,NY,+8.5,224.5,108,3300,18,11.7,14.9,15.0,15.0,4.55
Jared,Butler,PG,,,2024-12-21,,WAS,MIL,+11.5,227.5,108,3400,22,17.7,12.6,11.7,14.8,4.34
Marvin,Bagley III,C,,,2024-12-21,,WAS,MIL,+11.5,227.5,108,3300,10,18.7,12.2,9.8,14.5,4.39
Andre,Jackson Jr.,SG,SF,,2024-12-21,,MIL,WAS,-11.5,227.5,119.5,3300,22,12.0,12.7,11.5,14.5,4.39
Simone,Fontecchio,PF,,,2024-12-21,,DET,PHO,+6.5,225.5,109.5,3300,20,10.9,12.5,12.5,14.5,4.39
Gary,Harris,SG,SF,Q,2024-12-21,,ORL,MIA,-2.5,208.5,105.5,3400,18,8.5,8.3,8.3,14.0,4.12
Oso,Ighodaro,PF,C,,2024-12-21,,PHO,DET,-6.5,225.5,116,3300,9,8.0,10.7,11.1,14.0,4.24
Jabari,Walker,PF,C,,2024-12-21,,POR,SA,+6.5,227.5,110.5,3300,13,11.0,10.7,8.7,14.0,4.24
