Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Naz Reid,PF/C,MIN,27.00,4400,27.16,49.26,10.35,25.70
Buddy Hield,SG,GSW,20.00,4400,17.99,1.57,8.27,21.60
Guerschon Yabusele,PF/C,PHI,24.00,4300,17.89,2.97,7.17,14.80
Quentin Grimes,SG/SF,DAL,18.00,4300,13.98,0.80,6.73,13.40
Stephon Castle,PG/SG,SAS,19.00,4300,16.52,1.33,8.14,18.20
Jaden McDaniels,SF,MIN,29.00,4200,21.84,13.98,7.00,22.20
Daniel Gafford,C,DAL,19.00,4200,21.53,11.56,11.48,21.80
Brandin Podziemski,PG/SG,GSW,24.00,4200,20.88,10.83,8.38,12.70
Keldon Johnson,SF/PF,SAS,20.00,4200,17.73,2.20,8.47,19.30
Donte DiVincenzo,PG/SG,MIN,24.00,4100,20.97,11.61,8.29,17.90
Trayce Jackson-Davis,C,GSW,23.00,4100,24.82,20.64,11.30,12.40
Harrison Barnes,SF/PF,SAS,22.00,4100,14.81,0.09,6.15,19.10
Jarred Vanderbilt,PF/C,LAL,0.00,4000,0.00,0.04,0.00,0.00
Julian Strawther,SG/SF,DEN,16.00,4000,11.72,0.53,5.87,11.90
Sam Hauser,SF/PF,BOS,25.00,3900,18.26,2.81,6.62,18.26
Dalton Knecht,SG/SF,LAL,11.00,3900,8.20,0.00,4.70,17.40
Mason Plumlee,C,PHX,17.00,3900,16.09,0.26,8.36,6.40
Mitchell Robinson,C,NYK,0.00,3900,0.00,0.04,0.00,0.00
Caleb Martin,SF/PF,PHI,30.00,3800,19.31,8.27,5.89,18.00
Max Christie,SG/SF,LAL,28.00,3800,17.61,2.05,5.63,16.80
Kevon Looney,C,GSW,13.00,3800,13.65,0.37,8.01,25.50
Charles Bassey,C,SAS,15.00,3800,17.23,1.14,10.03,3.50
Miles McBride,PG/SG,NYK,20.00,3800,15.92,2.31,7.11,19.20
Luke Kornet,C,BOS,10.00,3700,8.81,0.00,5.35,0.80
