Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
48,4555785159,Regalboy1987 (3/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Keegan Murray,SF,1.84%,19.5
48,4555785160,Regalboy1987 (4/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Rudy Gobert,UTIL,1.67%,23.75
48,4555785161,Regalboy1987 (5/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Anfernee Simons,UTIL,1.66%,22.25
48,4555785162,Regalboy1987 (6/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Keldon Johnson,PF,1.52%,18
48,4555785163,Regalboy1987 (7/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Shaedon Sharpe,SG,1.29%,30.5
48,4555785164,Regalboy1987 (8/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Draymond Green,F,1.28%,24.5
48,4555785165,Regalboy1987 (9/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Dalano Banton,UTIL,1.21%,14.25
48,4555785166,Regalboy1987 (10/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Gabe Vincent,SG,1.20%,9.75
48,4555785167,Regalboy1987 (11/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Mike Conley,G,1.18%,22.5
48,4555785168,Regalboy1987 (12/20),0,326.5,C Jonas Valanciunas F Trey Murphy III G Dejounte Murray PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Justin Champagnie SG Stephon Castle UTIL Victor Wembanyama,,Ivica Zubac,UTIL,1.17%,43
