Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4570933758,NBA $60K Four Point Play [20 Entry Max],171983717,$4,Vasilije Micic (37081789) (LOCKED),Gary Trent Jr. (37081826) (LOCKED),Khris Middleton (37081727) (LOCKED),Jimmy Butler (37081692),Nick Richards (37081739) (LOCKED),Tyler Herro (37081703),Bobby Portis (37081723) (LOCKED),Giannis Antetokounmpo (37081656) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
4570933759,NBA $60K Four Point Play [20 Entry Max],171983717,$4,Vasilije Micic (37081789) (LOCKED),Donovan Mitchell (37081679) (LOCKED),Luguentz Dort (37081756),Aaron Wiggins (37081871),Giannis Antetokounmpo (37081656) (LOCKED),AJ Green (37081834) (LOCKED),Jimmy Butler (37081692),Jarrett Allen (37081711) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4570933760,NBA $60K Four Point Play [20 Entry Max],171983717,$4,Vasilije Micic (37081789) (LOCKED),Duncan Robinson (37081775),Alex Caruso (37081792),Jalen Williams (37081687),Giannis Antetokounmpo (37081656) (LOCKED),Shai Gilgeous-Alexander (37081660),Luguentz Dort (37081756),Aaron Wiggins (37081871),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4570933761,NBA $60K Four Point Play [20 Entry Max],171983717,$4,Tyler Herro (37081703),Gary Trent Jr. (37081826) (LOCKED),Andre Jackson Jr. (37081858) (LOCKED),Giannis Antetokounmpo (37081656) (LOCKED),Nick Richards (37081739) (LOCKED),AJ Green (37081834) (LOCKED),Bobby Portis (37081723) (LOCKED),Shai Gilgeous-Alexander (37081660),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4570933762,NBA $60K Four Point Play [20 Entry Max],171983717,$4,Donovan Mitchell (37081679) (LOCKED),Khris Middleton (37081727) (LOCKED),Aaron Wiggins (37081871),Miles Bridges (37081713) (LOCKED),Nick Richards (37081739) (LOCKED),Luguentz Dort (37081756),Bobby Portis (37081723) (LOCKED),Giannis Antetokounmpo (37081656) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
4570933763,NBA $60K Four Point Play [20 Entry Max],171983717,$4,Cason Wallace (37081768),Khris Middleton (37081727) (LOCKED),Luguentz Dort (37081756),Miles Bridges (37081713) (LOCKED),Nick Richards (37081739) (LOCKED),Tyler Herro (37081703),Giannis Antetokounmpo (37081656) (LOCKED),Bobby Portis (37081723) (LOCKED),,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,SG,AJ Johnson (37081975) (LOCKED),AJ Johnson,37081975,SG/G/UTIL,3000,In Progress,MIL,1.96
,,,,,,,,,,,,,PF,Tyler Smith (37081978) (LOCKED),Tyler Smith,37081978,PF/F/UTIL,3000,In Progress,MIL,3.41
,,,,,,,,,,,,,SF,Chris Livingston (37081981) (LOCKED),Chris Livingston,37081981,SF/F/UTIL,3000,In Progress,MIL,2.19
,,,,,,,,,,,,,PG/SF,Marjon Beauchamp (37081984) (LOCKED),Marjon Beauchamp,37081984,PG/SF/F/G/UTIL,3000,In Progress,MIL,2.52
,,,,,,,,,,,,,C,Liam Robbins (37081989) (LOCKED),Liam Robbins,37081989,C/UTIL,3000,In Progress,MIL,1.75
,,,,,,,,,,,,,C,Branden Carlson (37081885),Branden Carlson,37081885,C/UTIL,3000,OKC@MIA 12/20/2024 08:00PM ET,OKC,3.71
,,,,,,,,,,,,,SF,Keshad Johnson (37081893),Keshad Johnson,37081893,SF/F/UTIL,3000,OKC@MIA 12/20/2024 08:00PM ET,MIA,2.25
,,,,,,,,,,,,,PG/SG,Alec Burks (37081896),Alec Burks,37081896,PG/SG/G/UTIL,3000,OKC@MIA 12/20/2024 08:00PM ET,MIA,11.69
,,,,,,,,,,,,,PG,Josh Christopher (37081900),Josh Christopher,37081900,PG/G/UTIL,3000,OKC@MIA 12/20/2024 08:00PM ET,MIA,0
,,,,,,,,,,,,,C,Kel'el Ware (37081903),Kel'el Ware,37081903,C/UTIL,3000,OKC@MIA 12/20/2024 08:00PM ET,MIA,6.05
,,,,,,,,,,,,,PG/SG,Josh Richardson (37081905),Josh Richardson,37081905,PG/SG/G/UTIL,3000,OKC@MIA 12/20/2024 08:00PM ET,MIA,10.25
,,,,,,,,,,,,,SF,Pelle Larsson (37081909),Pelle Larsson,37081909,SF/F/UTIL,3000,OKC@MIA 12/20/2024 08:00PM ET,MIA,12
,,,,,,,,,,,,,PF,Dillon Jones (37081946),Dillon Jones,37081946,PF/F/UTIL,3000,OKC@MIA 12/20/2024 08:00PM ET,OKC,6.11
,,,,,,,,,,,,,C,Ousmane Dieng (37081949),Ousmane Dieng,37081949,C/UTIL,3000,OKC@MIA 12/20/2024 08:00PM ET,OKC,10.03
,,,,,,,,,,,,,PG,Adam Flagler (37081951),Adam Flagler,37081951,PG/G/UTIL,3000,OKC@MIA 12/20/2024 08:00PM ET,OKC,2.64
,,,,,,,,,,,,,SF,Alex Ducas (37081954),Alex Ducas,37081954,SF/F/UTIL,3000,OKC@MIA 12/20/2024 08:00PM ET,OKC,0
,,,,,,,,,,,,,PG,Nikola Topic (37081957),Nikola Topic,37081957,PG/G/UTIL,3000,OKC@MIA 12/20/2024 08:00PM ET,OKC,0
,,,,,,,,,,,,,C,Jaylin Williams (37081960),Jaylin Williams,37081960,C/UTIL,3000,OKC@MIA 12/20/2024 08:00PM ET,OKC,0
,,,,,,,,,,,,,PG,KJ Simpson (37081887) (LOCKED),KJ Simpson,37081887,PG/G/UTIL,3000,In Progress,CHA,10.19
,,,,,,,,,,,,,PG,Reggie Jackson (37081890) (LOCKED),Reggie Jackson,37081890,PG/G/UTIL,3000,In Progress,PHI,10.07
,,,,,,,,,,,,,PF/C,Pete Nance (37081931) (LOCKED),Pete Nance,37081931,PF/C/F/UTIL,3000,In Progress,PHI,0
,,,,,,,,,,,,,SF,Justin Edwards (37081935) (LOCKED),Justin Edwards,37081935,SF/F/UTIL,3000,In Progress,PHI,4
,,,,,,,,,,,,,PG,Jeff Dowtin (37081938) (LOCKED),Jeff Dowtin,37081938,PG/G/UTIL,3000,In Progress,PHI,5.69
,,,,,,,,,,,,,PG,Jared McCain (37081941) (LOCKED),Jared McCain,37081941,PG/G/UTIL,3000,In Progress,PHI,23.94
,,,,,,,,,,,,,C,Adem Bona (37081944) (LOCKED),Adem Bona,37081944,C/UTIL,3000,In Progress,PHI,4.29
,,,,,,,,,,,,,C,Taj Gibson (37081991) (LOCKED),Taj Gibson,37081991,C/UTIL,3000,In Progress,CHA,8.41
,,,,,,,,,,,,,SG/SF,Nick Smith Jr. (37081993) (LOCKED),Nick Smith Jr.,37081993,SG/SF/F/G/UTIL,3000,In Progress,CHA,6.25
,,,,,,,,,,,,,SG,Seth Curry (37081998) (LOCKED),Seth Curry,37081998,SG/G/UTIL,3000,In Progress,CHA,8.83
,,,,,,,,,,,,,C,Grant Williams (37082001) (LOCKED),Grant Williams,37082001,C/UTIL,3000,In Progress,CHA,24.09
