Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
48,4567653086,PeytMontgomery (1/2),0,317.25,C Andre Drummond F Josh Green G Lonzo Ball PF Paul George PG Tyrese Maxey SF Ausar Thompson SG Coby White UTIL Nikola Vucevic,,Bones Hyland,G,3.84%,0
49,4567006555,JornViggo (13/20),34,316,C Jakob Poeltl F Ausar Thompson G Josh Giddey PF Paul George PG Dru Smith SF Jimmy Butler SG Gradey Dick UTIL Malik Monk,,Keyonte George,PG,3.81%,0
49,4566571556,cupcake19 (3/3),0,316,C Mark Williams F Ausar Thompson G Gradey Dick PF Miles Bridges PG Tyrese Maxey SF Paul George SG Coby White UTIL Ben Simmons,,Nicolas Batum,UTIL,3.57%,0
51,4566658234,niraj123,46.75,315.75,C Bam Adebayo F Malik Beasley G Shake Milton PF Miles Bridges PG Kevin Porter Jr. SF Jimmy Butler SG Kelly Oubre Jr. UTIL Tyrese Maxey,,DeMar DeRozan,UTIL,3.57%,1.5
52,4566743761,kngof9ex (11/20),45.83,315.5,C Andre Drummond F Jimmy Butler G Kris Dunn PF Paul George PG Ben Simmons SF Malik Beasley SG Gradey Dick UTIL Jakob Poeltl,,Mark Williams,UTIL,3.57%,20.75
53,4567646371,traw8909 (11/20),45.83,315.25,C Bam Adebayo F Malik Beasley G Kris Dunn PF Jimmy Butler PG Lonzo Ball SF Paul George SG Gradey Dick UTIL Jakob Poeltl,,KJ Martin,UTIL,3.52%,5.5
54,4566913588,Aarron35 (1/4),0,315,C Andre Drummond F Jonathan Mogbo G Cade Cunningham PF Miles Bridges PG Tyrese Maxey SF Malik Beasley SG Kelly Oubre Jr. UTIL Mark Williams,,Ben Simmons,G,3.37%,28
55,4566519034,Willmatic (13/20),0,314.75,C Day'Ron Sharpe F Talen Horton-Tucker G Tyrese Maxey PF Miles Bridges PG Cade Cunningham SF Malik Beasley SG Coby White UTIL Jakob Poeltl,,Jamal Murray,G,3.22%,12.5
55,4567401156,SpeedRacer101 (6/20),0,314.75,C Day'Ron Sharpe F Jonathan Mogbo G Gradey Dick PF Jimmy Butler PG Josh Giddey SF Paul George SG Coby White UTIL Jakob Poeltl,,Shake Milton,SG,3.04%,12.75
57,4566899416,sullybrochill (6/20),0,314.5,C Andre Drummond F Talen Horton-Tucker G Coby White PF Jonathan Mogbo PG Cade Cunningham SF Jimmy Butler SG Gradey Dick UTIL Jakob Poeltl,,Haywood Highsmith,SF,2.87%,12.5
57,4567612894,ross_the_boss (18/20),0,314.5,C Andre Drummond F Talen Horton-Tucker G Coby White PF Jonathan Mogbo PG Cade Cunningham SF Jimmy Butler SG Gradey Dick UTIL Jakob Poeltl,,Simone Fontecchio,PF,2.65%,13.5
59,4567192899,smitters23 (1/5),0,313.75,C Jakob Poeltl F Jimmy Butler G Josh Giddey PF Julian Phillips PG Lonzo Ball SF RJ Barrett SG Gradey Dick UTIL Ayo Dosunmu,,Ronald Holland II,SF,2.37%,15.5
59,4567313098,gooch607,0,313.75,C Nikola Vucevic F Paul George G Ayo Dosunmu PF Ausar Thompson PG Josh Giddey SF Malik Beasley SG Coby White UTIL Andre Drummond,,Ochai Agbaji,SF,2.33%,21.25
61,4567498098,mrog_bobbyjohnson (20/20),79.83,313.25,C Andre Drummond F Isaac Jones G Kris Dunn PF RJ Barrett PG Tyrese Maxey SF Jimmy Butler SG Malik Beasley UTIL Jakob Poeltl,,Terry Rozier,PG,2.27%,27.75
62,4567655170,egar15 (5/20),0,312.5,C Bam Adebayo F Patrick Williams G Cade Cunningham PF Jonathan Mogbo PG Tyrese Maxey SF Ausar Thompson SG Gradey Dick UTIL Malik Beasley,,Donovan Mitchell,SG,2.20%,38.25
63,4566303717,walsean1 (20/20),34,312.25,C Andre Drummond F Jonathan Mogbo G Ayo Dosunmu PF Jimmy Butler PG Coby White SF Paul George SG Gradey Dick UTIL Aaron Gordon,,Jarrett Allen,UTIL,2.17%,31.5
64,4566684025,jtchancey (13/20),0,312,C Jakob Poeltl F Talen Horton-Tucker G Coby White PF Paul George PG Josh Giddey SF Jimmy Butler SG Gradey Dick UTIL Jonathan Mogbo,,Isaac Jones,F,2.16%,4
64,4567111468,bbchi85 (2/5),0,312,C Jakob Poeltl F Matas Buzelis G Coby White PF RJ Barrett PG Josh Giddey SF Talen Horton-Tucker SG Gradey Dick UTIL Jimmy Butler,,Tim Hardaway Jr.,SG,2.15%,25
66,4567631894,LiverpoolLou,45.83,311.75,C Jakob Poeltl F Jimmy Butler G Donovan Mitchell PF Amir Coffey PG Caris LeVert SF Malik Beasley SG Terry Rozier UTIL Paul George,,Jalen Duren,C,2.12%,33.5
66,4567466733,spankthat (18/20),0,311.75,C Andre Drummond F Jonathan Mogbo G Coby White PF Ausar Thompson PG Tyrese Maxey SF RJ Barrett SG Kelly Oubre Jr. UTIL Miles Bridges,,Brandon Miller,F,2.06%,25
68,4567663956,smsterling19,45.83,311.25,C Andre Drummond F Miles Bridges G Keyonte George PF Ausar Thompson PG Josh Giddey SF Jimmy Butler SG Kelly Oubre Jr. UTIL Bam Adebayo,,Noah Clowney,F,1.79%,7
68,4566891420,opatlion (13/20),0,311.25,C Andre Drummond F Jonathan Mogbo G Josh Giddey PF Jimmy Butler PG Tyrese Maxey SF Talen Horton-Tucker SG Coby White UTIL Jakob Poeltl,,Davion Mitchell,G,1.78%,11.25
70,4567139273,djsun0412 (2/20),46.75,311,C Jakob Poeltl F RJ Barrett G Davion Mitchell PF Jimmy Butler PG Cade Cunningham SF Ausar Thompson SG Lonzo Ball UTIL Kevin Porter Jr.,,Keon Johnson,G,1.69%,15
71,4566486542,joedeejeezy (3/3),34,310.75,C Nikola Vucevic F Ausar Thompson G Cade Cunningham PF Miles Bridges PG Dru Smith SF RJ Barrett SG Caris LeVert UTIL Julian Strawther,,Darius Garland,G,1.66%,22
71,4567528839,m.george (5/20),0,310.75,C Andre Drummond F Dorian Finney-Smith G Ayo Dosunmu PF Ausar Thompson PG Tyrese Maxey SF Paul George SG Coby White UTIL Gradey Dick,,John Collins,UTIL,1.59%,0
71,4567667528,roscoem70,0,310.75,C Nick Richards F DaQuan Jeffries G Ben Simmons PF Paul George PG Cade Cunningham SF Jimmy Butler SG Coby White UTIL Davion Mitchell,,Day'Ron Sharpe,C,1.56%,30.25
74,4566960204,markt35 (19/20),45.83,310.5,C Andre Drummond F Norman Powell G Cade Cunningham PF Jimmy Butler PG Dru Smith SF Ausar Thompson SG Kelly Oubre Jr. UTIL Jakob Poeltl,,Jaime Jaquez Jr.,F,1.50%,21.75
74,4567034561,jannalexander (2/2),34,310.5,C Andre Drummond F Miles Bridges G Cade Cunningham PF RJ Barrett PG Josh Giddey SF Ausar Thompson SG Keon Ellis UTIL Ben Simmons,,Ricky Council IV,SG,1.40%,8.75
74,4567267008,bytethis2k (12/20),34,310.5,C Nikola Vucevic F Paul George G Gradey Dick PF Aaron Gordon PG Josh Giddey SF Ausar Thompson SG Coby White UTIL Malik Beasley,,Nic Claxton,UTIL,1.28%,18
74,4566886482,thechek182 (2/20),0,310.5,C Andre Drummond F Paul George G Josh Giddey PF KJ Martin PG Shake Milton SF Jimmy Butler SG Duncan Robinson UTIL RJ Barrett,,LaMelo Ball,PG,1.26%,47.25
78,4567157703,junitwelsh (2/2),45.83,309.5,C Andre Drummond F Ausar Thompson G Caris LeVert PF Miles Bridges PG Tyrese Maxey SF Paul George SG Kelly Oubre Jr. UTIL Walker Kessler,,Josh Green,SF,1.26%,23
78,4566458150,TheLegendsOfRock,34,309.5,C Andre Drummond F Aaron Gordon G Lonzo Ball PF Jimmy Butler PG Tyler Herro SF RJ Barrett SG Coby White UTIL Patrick Williams,,Kevin Love,C,1.18%,10.75
78,4567213274,mturner235,0,309.5,C Andre Drummond F Jonathan Mogbo G Coby White PF Paul George PG Josh Giddey SF Ausar Thompson SG Kelly Oubre Jr. UTIL RJ Barrett,,Jalen Smith,C,1.15%,20.75
81,4566889783,shipitplz (10/20),0,309.25,C Jalen Duren F RJ Barrett G Josh Giddey PF Jonathan Mogbo PG Cade Cunningham SF Malik Beasley SG Coby White UTIL Day'Ron Sharpe,,Ja'Kobe Walter,SG,1.04%,16.25
82,4566303701,walsean1 (4/20),34,309,C Jakob Poeltl F Malik Beasley G Coby White PF Aaron Gordon PG Josh Giddey SF Jimmy Butler SG Gradey Dick UTIL Ayo Dosunmu,,Isaac Okoro,SF,1.03%,17.75
82,4566633451,deldredge29 (1/2),34,309,C Domantas Sabonis F Malik Beasley G Ben Simmons PF Jimmy Butler PG Terry Rozier SF Cameron Johnson SG Caris LeVert UTIL Miles Bridges,,Collin Sexton,SG,1.03%,3.5
82,4567306277,mdubzz (6/20),34,309,C Nikola Vucevic F Aaron Gordon G Josh Giddey PF Miles Bridges PG Dru Smith SF Jimmy Butler SG Malik Beasley UTIL Jakob Poeltl,,Tyrese Martin,SF,1.03%,13.25
82,4566624561,lbquadz (9/10),0,309,C Andre Drummond F Jonathan Mogbo G Josh Giddey PF RJ Barrett PG Cade Cunningham SF Malik Beasley SG Coby White UTIL Day'Ron Sharpe,,Doug McDermott,F,1.00%,5.5
