Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
grant williams,C/UTIL,CHA,4.56%,0.0%,0.03%,0.02%,0.03%,$-3.59
tristan thompson,C/UTIL,CLE,4.79%,0.0%,0.03%,0.02%,0.03%,$-3.59
kj simpson,PG/G/UTIL,CHA,4.74%,0.0%,0.03%,0.02%,0.03%,$-3.59
johnny juzang,SF/SG/G/F/UTIL,UTA,6.4%,0.0%,0.03%,0.03%,0.03%,$-3.6
anthony gill,C/UTIL,WAS,5.93%,0.0%,0.05%,0.03%,0.03%,$-3.61
karlo matkovic,C/PF/F/UTIL,NOP,4.79%,0.0%,0.01%,0.02%,0.03%,$-3.62
keion brooks jr.,PF/SF/F/UTIL,NOP,5.59%,0.0%,0.01%,0.05%,0.03%,$-3.64
josh okogie,SF/F/UTIL,PHX,4.51%,0.0%,0.0%,0.02%,0.03%,$-3.66
jusuf nurkic,C/UTIL,PHX,4.12%,0.0%,0.01%,0.02%,0.04%,$-3.67
kentavious caldwell-pope,SG/G/UTIL,ORL,3.95%,0.0%,0.01%,0.02%,0.04%,$-3.68
jared mccain,PG/G/UTIL,PHI,3.7%,0.0%,0.02%,0.02%,0.03%,$-3.69
tre mann,PG/G/UTIL,CHA,4.69%,0.0%,0.01%,0.03%,0.03%,$-3.72
andre drummond,C/UTIL,PHI,3.87%,0.0%,0.01%,0.05%,0.04%,$-3.73
d'angelo russell,PG/SG/G/UTIL,BKN,4.19%,0.0%,0.01%,0.03%,0.05%,$-3.74
caleb martin,PF/SF/F/UTIL,PHI,4.16%,0.0%,0.01%,0.03%,0.04%,$-3.75
keyonte george,PG/G/UTIL,UTA,3.65%,0.0%,0.01%,0.05%,0.05%,$-3.76
chet holmgren,PF/F/UTIL,OKC,3.09%,0.0%,0.0%,0.05%,0.07%,$-3.81
cam thomas,SG/G/UTIL,BKN,2.48%,0.0%,0.0%,0.02%,0.06%,$-3.81
saddiq bey,SF/F/UTIL,WAS,2.14%,0.0%,0.01%,0.02%,0.04%,$-3.82
malcolm brogdon,PG/SG/G/UTIL,WAS,2.44%,0.0%,0.0%,0.07%,0.05%,$-3.83
patrick baldwin jr.,PF/F/UTIL,WAS,2.16%,0.0%,0.0%,0.02%,0.03%,$-3.84
brandon ingram,PG/G/UTIL,NOP,1.58%,0.0%,0.0%,0.02%,0.07%,$-3.88
cameron johnson,PF/SF/F/UTIL,BKN,1.68%,0.0%,0.0%,0.12%,0.06%,$-3.89
johnny furphy,SF/SG/G/F/UTIL,IND,1.25%,0.0%,0.01%,0.02%,0.03%,$-3.9
walker kessler,C/UTIL,UTA,1.74%,0.0%,0.0%,0.03%,0.06%,$-3.9
jalen suggs,PG/SG/G/UTIL,ORL,1.41%,0.0%,0.0%,0.13%,0.07%,$-3.91
franz wagner,PF/F/UTIL,ORL,1.08%,0.0%,0.0%,0.1%,0.08%,$-3.93
joel embiid,C/UTIL,PHI,0.71%,0.0%,0.0%,0.17%,0.08%,$-3.95
