PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Isaiah Hartenstein (37303039),Devin Booker (37302957),Ziaire Williams (37303157),Collin Sexton (37303043),272.42,258.41,364.6,50000,0.12%,3.54%,1.52%,37.95%,130.19,$6.08,CLE 2,PHI 1,generated,1
Shai Gilgeous-Alexander (37302935),Isaiah Joe (37303303),Lauri Markkanen (37303014),Ricky Council IV (37303632),Drew Eubanks (37303397),Devin Booker (37302957),Kyle Filipowski (37303285),Jalen Williams (37302986),280.6,266.60999999999996,379.38,49700,0.09%,3.82%,1.51%,46.98%,211.26999999999998,$6.04,OKC 3,UTA 3,generated,1
Shai Gilgeous-Alexander (37302935),Kelly Oubre Jr. (37303089),Lauri Markkanen (37303014),Ricky Council IV (37303632),Jarrett Allen (37303060),Cason Wallace (37303281),Evan Mobley (37302989),Kyle Filipowski (37303285),283.41,268.75,377.09000000000003,49800,0.08%,3.88%,1.49%,50.7%,236.18,$5.98,OKC 2,PHI 2,generated,1
Cason Wallace (37303281),Cole Anthony (37303107),Ricky Council IV (37303632),Pascal Siakam (37303036),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Jalen Williams (37302986),286.57000000000005,275.18,383.97,49700,0.08%,3.78%,1.48%,56.2%,297.02,$5.92,OKC 4,ORL 1,generated,1
Shai Gilgeous-Alexander (37302935),Max Strus (37303260),Paul George (37303009),Ricky Council IV (37303632),Kristaps Porzingis (37303041),Andrew Nembhard (37303179),Kevin Durant (37302953),Drew Eubanks (37303397),276.35,267.84,370.65,50000,0.12%,3.33%,1.44%,41.44%,172.22,$5.78,PHI 2,OKC 1,generated,1
Isaiah Collier (37303246),Luguentz Dort (37303218),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Devin Booker (37302957),Kyle Filipowski (37303285),Kelly Oubre Jr. (37303089),276.86,265.29999999999995,360.49,49900,0.11%,3.52%,1.43%,42.07%,159.01,$5.71,UTA 2,OKC 2,generated,1
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Isaiah Joe (37303303),Pascal Siakam (37303036),Isaiah Hartenstein (37303039),Andrew Nembhard (37303179),Kyle Filipowski (37303285),Jarrett Allen (37303060),283.21000000000004,275.82,381.6,49600,0.07%,3.64%,1.43%,50.98%,265.14,$5.7,OKC 3,IND 2,generated,1
Darius Garland (37303029),Bennedict Mathurin (37303098),Ricky Council IV (37303632),Jalen Williams (37302986),Jarrett Allen (37303060),Cole Anthony (37303107),Lauri Markkanen (37303014),Andrew Nembhard (37303179),273.90999999999997,262.46000000000004,366.24,49600,0.11%,3.58%,1.43%,39.1%,161.48999999999998,$5.72,CLE 2,IND 2,generated,1
Cason Wallace (37303281),Devin Booker (37302957),Brice Sensabaugh (37303235),Ricky Council IV (37303632),Jarrett Allen (37303060),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Jalen Williams (37302986),282.02000000000004,268.98,378.71000000000004,49400,0.07%,3.77%,1.43%,49.03%,244.72,$5.7,OKC 3,UTA 2,generated,1
Andrew Nembhard (37303179),Luguentz Dort (37303218),Ricky Council IV (37303632),Jalen Williams (37302986),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Lauri Markkanen (37303014),Kyle Filipowski (37303285),285.03000000000003,271.01,380.34000000000003,50000,0.06%,3.75%,1.42%,53.53%,252.55,$5.68,OKC 4,UTA 2,generated,1
