Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Patrick Baldwin Jr,PF,WAS,dk,0.00,3000,0,0,-15,CHA,105.75,216,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324451,37515327
Tre Jones,PG,SAS,dk,0.00,3300,0,0,-16,MEM,118.75,241,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132030,37514954
Colby Jones,SG/SF,SAC,dk,0.00,3000,0,0,-15,MIN,108.5,222,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231798,37515196
PJ Tucker,PF,UTA,dk,0.00,3000,0,0,-15,IND,117.5,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229602,37515088
Mo Bamba,C,UTA,dk,0.00,3500,0,0,-17,IND,117.5,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071928,37514884
Vince Williams Jr,PF,MEM,dk,0.00,3000,0,0,-15,SAS,122.25,241,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134869,37515137
David Roddy,PF,ATL,dk,0.00,3300,0,0,-16,DET,116.5,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193593,37514927
Peyton Watson,SF/PF,DEN,dk,0.00,3200,0,0,-16,NOP,126,242,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326502,37514965
Jock Landale,C,HOU,dk,0.00,3300,0,0,-16,NYK,108.5,224,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850308,37514952
Jabari Smith Jr,PF/C,HOU,dk,0.00,5000,0,0,-25,NYK,108.5,224,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342755,37514664
Ron Harper Jr,PF,DET,dk,0.00,3000,0,0,-15,ATL,121,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133934,37515172
Kobe Bufkin,PG,ATL,dk,0.00,3000,0,0,-15,DET,116.5,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324350,37515315
