Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Feasibility,Weighted Feasibility,Tournament Feasibility,Team_Contest_Rank,Player_Pool_Size,Proj_Salary_Ratio,Normalized_Value,Log_Proj,Prev_Salary_Mean,Salary_Proj_Interaction,Value_Feasibility_Interaction,Proj_Feasibility_Interaction,Low_Minutes_Flag,Low_Minutes_Penalty,Team_Total_Points_Proj,Player_Points_Percentage,Value_Plus,Ceiling_Plus,Custom_Target,Rank,Preliminary_Predictions,Scaled_Predictions,Group_Rank,Dynamic_Shift,Predicted Ownership
13,Paul George,8500,37.47,4.41,15.65,14863,3,-5.03,SF/PF,PHI,5.87,37.0,2.7659350000000003,3142.0,8.903512157732498e-05,3.0,104,0.004408235294117647,0.8542227523288493,3.6498787167642037,6700.0,318495.0,12.197773350000002,103.63958445,0,0.0,1721.99,0.021759708244531037,3.469999999999999,0.8399999999999963,0.1565881447703617,22.0,0.06701867915013637,9.098403836578122,30.0,0.45601581308335887,9.605708508662014
13,Moussa Diabate,3200,15.23,4.76,15.64,14863,3,-0.77,C,CHA,1.61,18.0,1.40328,436.0,1.990722599948549e-05,8.0,104,0.004759375,1.008664257245007,2.7868613815264998,6600.0,48736.0,6.6796128,21.371954400000003,0,0.0,1615.24,0.009428939352665857,2.4299999999999997,0.8399999999999999,0.15641970815373965,23.0,0.04821659094079922,6.545846942457875,33.0,0.45684186434107593,6.881944249466292
13,Tyrese Maxey,9000,39.25,4.36,15.48,14863,3,-5.75,PG,PHI,7.06,38.0,2.82378,2515.0,0.0001013821830343,2.0,104,0.004361111111111111,0.8321596801979696,3.6951100038645723,6766.666666666667,353250.0,12.311680800000001,110.833365,0,0.0,1721.99,0.02279339601275269,3.25,1.3100000000000023,0.15490036836120408,24.0,0.07451978360312062,10.116747951965932,27.0,0.4552182120293464,9.795360327912379
13,Caris LeVert,5200,21.34,4.1,15.13,14863,3,-4.66,PG/SG,CLE,2.41,23.0,1.75214,2405.0,0.0001964719281411,5.0,104,0.004103846153846154,0.7174317051173947,3.1063787936410545,5666.666666666667,110968.0,7.183774,37.3906676,0,0.0,1920.61,0.0111110532591208,0.5399999999999991,-2.25,0.15149450720885982,25.0,0.08827108152967167,11.983613479598556,25.0,0.4547032671925902,10.409001441645795
13,Delon Wright,3000,12.81,4.27,12.77,14863,3,-2.19,PG,MIL,0.8,18.0,1.3948200000000002,708.0,4.47646957542187e-05,9.0,104,0.00427,0.7924461503623857,2.6253929674212007,5600.0,38430.0,5.9558814,17.867644200000004,0,0.0,1607.59,0.007968449666892679,0.8100000000000005,-1.3899999999999988,0.1277443170487968,26.0,0.03603920640691349,4.89265467475608,36.0,0.45769465258340575,5.52644060215721
13,Kelly Oubre Jr.,6100,26.96,4.42,12.49,14863,3,-3.54,SG,PHI,2.21,37.0,2.842525,2150.0,9.601445809889464e-05,4.0,104,0.004419672131147541,0.858635366755025,3.3307749173656096,4600.0,164456.0,12.5639605,76.63447400000001,0,0.0,1721.99,0.015656304624300954,2.5600000000000023,-1.3299999999999983,0.12499505431351801,27.0,0.07642490736960794,10.37538607503806,26.0,0.45495900629705405,10.451222754355475
13,Gary Trent Jr.,3600,15.55,4.32,9.56,14863,3,-2.45,SG/SF,MIL,0.95,23.0,1.7778999999999998,1323.0,9.062789963547617e-05,6.0,104,0.004319444444444444,0.8145092224932658,2.806386101823072,4133.333333333333,55980.0,7.680528,27.646344999999997,0,0.0,1607.59,0.009672864349740918,1.1500000000000004,-1.5,0.09568972162063921,28.0,0.04333488853613332,5.883110814994903,35.0,0.4574075143227534,5.928764700657354
13,Andre Jackson Jr.,3300,13.02,3.95,8.86,14863,3,-3.48,SG/SF,MIL,0.68,20.0,1.5701999999999998,1259.0,7.945713531758032e-05,8.0,104,0.003945454545454545,0.6512424887247559,2.640484881606444,4166.666666666667,42966.0,6.20229,20.444003999999996,0,0.0,1607.59,0.008099079989300755,-0.17999999999999972,-2.8000000000000007,0.08867866256396448,29.0,0.03412990891859202,4.633449930448945,37.0,0.45798459637965644,4.933617092995209
13,Jarrett Allen,6700,33.35,4.98,8.63,14863,3,-0.15,C,CLE,5.41,31.0,2.3301149999999997,1122.0,0.000100708593942,4.0,104,0.004977611940298507,1.1057417746208782,3.536602018668358,4566.666666666667,223445.0,11.6039727,77.70933525,0,0.0,1920.61,0.017364274891831243,6.550000000000001,5.260000000000005,0.08639970150800266,30.0,0.12838624203398608,17.429616517345064,15.0,0.4523599556405613,15.029552436510036
13,Terry Rozier,4600,22.09,4.8,8.48,14863,3,-0.91,PG/SG,MIA,2.3,26.0,1.99004,2152.0,0.0002840355641569,4.0,104,0.004802173913043478,1.026314714949711,3.139399623366404,4866.666666666667,101614.0,9.552192,43.9599836,0,0.0,1603.08,0.013779724031239863,3.6900000000000013,1.3900000000000006,0.08508119520851541,31.0,0.12883646140082972,17.490737948959904,14.0,0.45215007439954663,16.054879621508167
