Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
55,4639608888,lanean11 (2/2),242.45,90,C Thomas Bryant F Paolo Banchero G Elfrid Payton PF Pascal Siakam PG Tyrese Haliburton SF Franz Wagner SG Nick Smith Jr. UTIL Jusuf Nurkic,,Cole Anthony,SG,1.10%,12.75
55,4640255706,dfsproduction1 (1/3),242.45,90,C Thomas Bryant F Paolo Banchero G Tyrese Haliburton PF Pascal Siakam PG Elfrid Payton SF Franz Wagner SG Nick Smith Jr. UTIL Jusuf Nurkic,,Goga Bitadze,UTIL,1.09%,12.25
55,4640329423,dfsproduction1 (2/3),242.45,90,C Thomas Bryant F Paolo Banchero G Tyrese Haliburton PF Pascal Siakam PG Elfrid Payton SF Franz Wagner SG Nick Smith Jr. UTIL Jusuf Nurkic,,Max Strus,SG,1.03%,13.5
55,4640329452,dfsproduction1 (3/3),242.45,90,C Thomas Bryant F Paolo Banchero G Tyrese Haliburton PF Pascal Siakam PG Elfrid Payton SF Franz Wagner SG Nick Smith Jr. UTIL Jusuf Nurkic,,Devin Vassell,G,0.89%,3.25
62,4640026299,elvisssssssss (2/2),287.26,89.75,C Thomas Bryant F Jayson Tatum G Bilal Coulibaly PF Kyshawn George PG Tyrese Haliburton SF LOCKED SG Derrick White UTIL LOCKED,,Carlton Carrington,UTIL,0.88%,16.25
62,4639964688,riddimbaucher (20/20),269.62,89.75,C Thomas Bryant F LOCKED G Elfrid Payton PF Pascal Siakam PG Jordan Poole SF Jayson Tatum SG Payton Pritchard UTIL Derrick White,,Miles Bridges,PF,0.87%,18
64,4640210341,cdavis3200,289.71,89.5,C Jarrett Allen F Al Horford G Nick Smith Jr. PF Cameron Johnson PG De'Aaron Fox SF Jayson Tatum SG RJ Barrett UTIL Aaron Nesmith,,Zaccharie Risacher,PF,0.84%,5.5
65,4639752709,tiabad (4/20),311.72998,89.25,C Thomas Bryant F Max Strus G Jared Butler PF LOCKED PG Jordan Poole SF Jayson Tatum SG Derrick White UTIL LOCKED,,Cameron Payne,SG,0.82%,0
66,4640040918,whoabuck (1/3),281.88,89,C Goga Bitadze F Franz Wagner G LOCKED PF Jayson Tatum PG Cole Anthony SF Sam Hauser SG Derrick White UTIL LOCKED,,Day'Ron Sharpe,C,0.72%,0
66,4639782322,George374 (3/4),252.39001,89,C Obi Toppin F Franz Wagner G T.J. McConnell PF Jayson Tatum PG Stephon Castle SF Bennedict Mathurin SG Corey Kispert UTIL Pascal Siakam,,T.J. McConnell,G,0.62%,12.5
68,4640120438,salatso22 (15/20),289.75,88.75,C Kristaps Porzingis F LOCKED G De'Aaron Fox PF Jayson Tatum PG Payton Pritchard SF Aaron Nesmith SG Derrick White UTIL LOCKED,,Sam Merrill,UTIL,0.60%,0
69,4639742082,JoshuaJones88 (5/14),290.58,88.5,C LOCKED F Sam Hauser G Chris Paul PF Al Horford PG Derrick White SF Jayson Tatum SG Devin Vassell UTIL LOCKED,,Ziaire Williams,F,0.57%,0
69,4639932163,dan087,284.36002,88.5,C Thomas Bryant F Paolo Banchero G LOCKED PF Kyshawn George PG Tyrese Haliburton SF Aaron Nesmith SG Derrick White UTIL LOCKED,,Kentavious Caldwell-Pope,UTIL,0.56%,4.5
69,4640183523,jaynel07 (6/6),265.48,88.5,C Goga Bitadze F Jayson Tatum G Nick Smith Jr. PF Kyshawn George PG Payton Pritchard SF Josh Green SG LOCKED UTIL Victor Wembanyama,,Harrison Barnes,PF,0.55%,2.5
72,4640283820,ronfly (2/2),300.54,88.25,C LOCKED F Jayson Tatum G Jordan Poole PF Obi Toppin PG Chris Paul SF Cameron Johnson SG Derrick White UTIL LOCKED,,Tristan da Silva,SF,0.50%,2.75
73,4640255114,RaffyJr1971 (1/6),295.44998,88,C Thomas Bryant F Kyshawn George G Carlton Carrington PF Sam Hauser PG LOCKED SF Mikal Bridges SG Max Strus UTIL Jayson Tatum,,D'Angelo Russell,PG,0.50%,4
73,4640255115,RaffyJr1971 (2/6),295.44998,88,C Thomas Bryant F Kyshawn George G Carlton Carrington PF Sam Hauser PG LOCKED SF Mikal Bridges SG Max Strus UTIL Jayson Tatum,,Corey Kispert,SG,0.47%,17
73,4640255116,RaffyJr1971 (3/6),295.44998,88,C Thomas Bryant F Kyshawn George G Carlton Carrington PF Sam Hauser PG LOCKED SF Mikal Bridges SG Max Strus UTIL Jayson Tatum,,Tosan Evbuomwan,F,0.47%,0
73,4639599532,lanean11 (1/2),261.75,88,C Jusuf Nurkic F Franz Wagner G Elfrid Payton PF Pascal Siakam PG Tyrese Haliburton SF Jayson Tatum SG Nick Smith Jr. UTIL LOCKED,,Anthony Black,UTIL,0.44%,16
77,4640200244,Mindfire (2/3),301.49,87.75,C Kristaps Porzingis F LOCKED G LOCKED PF Precious Achiuwa PG Derrick White SF Jayson Tatum SG Payton Pritchard UTIL Thomas Bryant,,Ochai Agbaji,F,0.44%,0
77,4640169422,rnkool33,281.88,87.75,C Jusuf Nurkic F Paolo Banchero G Elfrid Payton PF Jayson Tatum PG De'Aaron Fox SF Sam Hauser SG LOCKED UTIL LOCKED,,Richaun Holmes,C,0.44%,10.75
79,4640167677,mjscott8824 (5/20),318.81998,87.5,C Jusuf Nurkic F LOCKED G LOCKED PF Al Horford PG LOCKED SF Jayson Tatum SG Derrick White UTIL LOCKED,,Tyrese Maxey,PG,0.43%,0
79,4640154307,Angelisjr (17/18),260.7,87.5,C Thomas Bryant F Jayson Tatum G Jared Butler PF Pascal Siakam PG Elfrid Payton SF Franz Wagner SG De'Aaron Fox UTIL Jusuf Nurkic,,Trendon Watford,PF,0.37%,0
