Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
jalen bridges,SF/F/UTIL,PHX,12.53%,0.0%,0.14%,0.08%,0.1%,$-3.0
riley minix,PF/F/UTIL,SAS,13.92%,0.0%,0.12%,0.12%,0.1%,$-3.01
keshad johnson,PF/F/UTIL,MIA,13.08%,0.0%,0.11%,0.09%,0.1%,$-3.02
leonard miller,C/PF/F/UTIL,MIN,12.85%,0.0%,0.19%,0.14%,0.1%,$-3.03
bol bol,C/PF/F/UTIL,PHX,13.2%,0.0%,0.13%,0.16%,0.1%,$-3.03
micah potter,C/PF/F/UTIL,UTA,12.19%,0.0%,0.15%,0.11%,0.1%,$-3.03
steven adams,C/UTIL,HOU,13.9%,0.0%,0.11%,0.11%,0.1%,$-3.03
sidy cissoko,SF/SG/G/F/UTIL,SAS,12.67%,0.0%,0.16%,0.2%,0.1%,$-3.04
pj dozier,PF/F/UTIL,MIN,12.97%,0.0%,0.12%,0.14%,0.1%,$-3.04
tyler smith,PF/F/UTIL,MIL,13.2%,0.0%,0.15%,0.14%,0.1%,$-3.05
terrence shannon jr.,SF/SG/G/F/UTIL,MIN,12.32%,0.0%,0.12%,0.19%,0.1%,$-3.09
david duke jr.,PG/SG/G/UTIL,SAS,12.44%,0.0%,0.1%,0.1%,0.1%,$-3.11
thomas bryant,C/UTIL,MIA,11.15%,0.0%,0.15%,0.12%,0.1%,$-3.13
armel traore,PF/F/UTIL,LAL,11.95%,0.0%,0.13%,0.07%,0.1%,$-3.14
patrick williams,PF/F/UTIL,CHI,11.46%,0.0%,0.13%,0.08%,0.1%,$-3.14
david jones,SF/SG/G/F/UTIL,UTA,11.66%,0.0%,0.12%,0.18%,0.1%,$-3.14
dru smith,PG/G/UTIL,MIA,12.62%,0.0%,0.12%,0.08%,0.1%,$-3.14
josh christopher,PG/SF/G/F/UTIL,MIA,11.47%,0.0%,0.1%,0.2%,0.1%,$-3.18
patrick baldwin jr.,PF/F/UTIL,WAS,10.91%,0.0%,0.09%,0.12%,0.1%,$-3.21
lonzo ball,PG/G/UTIL,CHI,10.78%,0.0%,0.08%,0.13%,0.1%,$-3.22
dj steward,PG/G/UTIL,CHI,10.5%,0.0%,0.08%,0.1%,0.1%,$-3.22
charles bassey,C/UTIL,SAS,9.75%,0.0%,0.19%,0.05%,0.1%,$-3.22
jesse edwards,C/UTIL,MIN,10.24%,0.0%,0.1%,0.08%,0.1%,$-3.25
tristan vukcevic,C/UTIL,WAS,9.54%,0.0%,0.08%,0.05%,0.1%,$-3.25
rob dillingham,PG/G/UTIL,MIN,8.77%,0.0%,0.08%,0.08%,0.1%,$-3.33
e.j. liddell,C/UTIL,CHI,8.82%,0.0%,0.05%,0.08%,0.1%,$-3.36
richaun holmes,C/UTIL,WAS,9.55%,0.0%,0.04%,0.05%,0.1%,$-3.37
kyle filipowski,C/PF/F/UTIL,UTA,8.29%,0.0%,0.05%,0.1%,0.1%,$-3.4
jarred vanderbilt,C/UTIL,LAL,7.45%,0.0%,0.05%,0.04%,0.1%,$-3.44
christian wood,C/UTIL,LAL,7.71%,0.0%,0.03%,0.07%,0.1%,$-3.49
saddiq bey,SF/F/UTIL,WAS,7.66%,0.0%,0.03%,0.09%,0.1%,$-3.49
mike conley,PG/G/UTIL,MIN,6.24%,0.0%,0.04%,0.08%,0.1%,$-3.54
jaxson hayes,C/UTIL,LAL,7.53%,0.0%,0.02%,0.05%,0.1%,$-3.55
jordan clarkson,SG/G/UTIL,UTA,5.58%,0.0%,0.01%,0.08%,0.1%,$-3.61
terry rozier,PG/G/UTIL,MIA,4.68%,0.0%,0.03%,0.08%,0.1%,$-3.68
jordan poole,PG/SG/G/UTIL,WAS,4.0%,0.0%,0.01%,0.17%,0.1%,$-3.73
khris middleton,SG/G/UTIL,MIL,4.04%,0.0%,0.01%,0.07%,0.1%,$-3.74
jeremy sochan,C/UTIL,SAS,3.96%,0.0%,0.01%,0.06%,0.1%,$-3.74
devin vassell,SG/G/UTIL,SAS,4.01%,0.0%,0.01%,0.05%,0.1%,$-3.74
giannis antetokounmpo,C/PF/F/UTIL,MIL,0.11%,0.0%,0.0%,4.08%,0.1%,$-3.87
kevin durant,C/PF/F/UTIL,PHX,0.98%,0.0%,0.0%,0.12%,0.1%,$-3.94
