id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6330,Reaves,Austin,32.22,LAL,G,@ UTA,32.00,17.43,2.33,3.61,4.71,1.15,0.23,1.52,3.64,3.16,0.47,5.97,7.04,0.03,0.001,Playing,
6114,Bol,Bol,32.16,PHO,F,@ HOU,30.00,14.52,1.92,7.88,1.40,0.61,1.96,1.61,3.74,1.28,0.45,5.66,6.59,0.26,0.000,,
6188,McDaniels,Jaden,31.81,MIN,F,MIL,36.00,13.83,1.55,7.42,1.93,1.59,1.03,1.15,3.89,1.40,0.42,5.44,6.09,0.25,0.000,,
3487,Green,Draymond,31.73,GSW,F,@ DAL,30.00,9.66,1.57,6.66,6.24,1.41,0.99,2.59,1.94,1.07,0.61,3.51,4.71,0.05,0.006,,
5454,Markkanen,Lauri,31.54,UTA,F,LAL,30.00,18.64,2.86,5.55,1.89,0.74,0.35,1.17,3.27,3.52,0.43,6.13,7.64,0.07,0.000,,
6746,Coulibaly,Bilal,31.31,WAS,F,IND,34.00,14.32,1.24,5.42,4.31,1.24,0.92,2.56,3.81,2.98,1.05,5.05,7.32,0.06,0.002,,
6962,Collier,Isaiah,31.20,UTA,G,LAL,31.00,11.21,0.90,3.96,8.77,1.13,0.29,3.58,3.65,1.21,0.42,4.55,6.07,0.25,0.005,,
3910,Clarkson,Jordan,31.14,UTA,G,LAL,30.00,17.91,2.27,3.29,4.95,0.73,0.17,2.57,4.07,2.96,0.56,6.34,8.56,0.03,0.001,,
6935,Sarr,Alexandre,30.81,WAS,F,IND,26.00,13.72,1.76,7.38,2.16,0.61,1.40,1.31,3.40,1.64,0.90,5.16,6.61,0.25,0.002,Playing,
3957,Wiggins,Andrew,30.79,MIA,F,@ OKC,33.00,17.30,2.05,5.18,2.37,0.87,0.67,1.49,3.85,3.45,1.02,5.90,8.07,0.07,0.001,,
6154,Avdija,Deni,30.72,POR,F,@ DEN,27.00,15.48,1.64,5.82,3.43,0.94,0.55,2.15,3.67,3.22,0.98,5.31,5.85,0.06,0.001,,
6184,Pritchard,Payton,30.43,BOS,G,SAS,31.00,15.01,3.32,4.53,4.25,0.92,0.18,1.03,2.09,0.87,0.18,5.41,6.29,0.03,0.001,,
6155,Vassell,Devin,29.96,SAS,G,@ BOS,34.00,16.25,2.09,4.04,3.56,1.15,0.40,1.73,4.17,1.64,0.46,6.26,8.33,0.03,0.001,,
5267,Yabusele,Guerschon,29.89,PHI,F,@ BKN,35.00,13.29,2.10,7.30,2.21,1.10,0.61,1.38,2.60,1.79,0.68,4.70,4.36,0.25,0.002,Starting,
5682,Porter Jr.,Michael,29.69,DEN,F,POR,30.00,16.56,2.50,6.11,1.83,0.54,0.46,1.30,3.64,1.78,0.55,6.14,5.62,0.10,0.000,Questionable,
6080,Alexander-Walker,Nickeil,29.69,MIN,G,MIL,34.00,13.74,2.62,4.36,5.04,0.83,0.45,2.04,2.31,1.26,0.40,4.93,6.40,0.06,0.002,,
3939,Nurkic,Jusuf,29.59,CHA,C,@ ORL,25.00,11.11,0.51,9.32,2.56,0.96,0.82,2.63,3.54,2.50,1.13,4.05,4.09,0.32,0.003,Starting,
5048,Russell,D'Angelo,29.57,BKN,G,PHI,26.00,13.30,2.17,2.95,6.83,0.76,0.34,2.17,2.32,2.15,0.33,4.49,5.83,0.09,0.001,,
5425,LeVert,Caris,29.21,ATL,G,@ NYK,29.00,14.85,2.14,3.35,4.58,1.05,0.53,1.93,2.94,2.55,0.84,5.08,6.28,0.03,0.001,,
3367,Harris,Tobias,28.84,DET,F,@ CHI,33.00,14.93,1.35,5.60,2.19,0.92,0.77,1.03,4.45,1.98,0.30,5.80,6.27,0.06,0.001,,
2846,Lopez,Brook,28.68,MIL,C,@ MIN,33.00,14.06,2.19,4.73,1.75,0.73,2.01,1.06,3.15,1.19,0.26,5.34,6.26,0.03,0.000,,
6944,Buzelis,Matas,28.60,CHI,F,DET,29.00,14.14,1.95,5.86,1.45,0.63,1.63,1.24,3.05,2.19,0.56,5.00,5.76,0.06,0.000,,
6957,George,Kyshawn,28.60,WAS,G,IND,33.00,12.25,2.45,5.39,3.42,1.22,0.82,1.82,1.63,1.64,0.50,4.08,6.19,0.05,0.001,,
