Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Anthony Edwards,SG/G/UTIL,MIN,47.77,13.07,21.26%,1.05%,8.18%,3.81%,$-0.98,48
Cole Anthony,PG/SG/G/UTIL,ORL,33.53,12.53,15.96%,0.47%,8.43%,5.69%,$-1.01,48
Jeremiah Robinson-Earl,C/PF/F/UTIL,NOP,17.26,7.86,14.37%,1.13%,18.18%,18.26%,$-1.06,48
Victor Wembanyama,C/UTIL,SAS,60.1,18.93,22.71%,1.66%,21.56%,18.73%,$-1.24,48
Scottie Barnes,PG/SF/G/F/UTIL,TOR,43.02,13.73,45.64%,0.39%,5.55%,4.53%,$-1.49,48
Devin Vassell,SF/SG/G/F/UTIL,SAS,34.9,9.77,20.15%,0.82%,24.26%,11.71%,$-1.75,48
Trayce Jackson-Davis,C/UTIL,GSW,33.5,11.77,45.59%,0.0%,0.75%,0.69%,$-1.96,48
Mark Williams,C/UTIL,CHA,36.11,14.58,22.62%,0.78%,16.62%,31.68%,$-1.98,48
Wendell Carter Jr.,C/UTIL,ORL,32.62,10.12,33.76%,1.13%,11.18%,25.03%,$-1.99,48
Giannis Antetokounmpo,C/PF/F/UTIL,MIL,56.92,21.85,18.22%,0.62%,30.85%,11.52%,$-2.06,48
Dillon Brooks,PF/F/UTIL,HOU,27.5,6.09,18.94%,0.88%,2.9%,2.88%,$-2.16,48
Keldon Johnson,PF/SF/F/UTIL,SAS,24.11,10.32,17.3%,1.23%,11.34%,8.19%,$-2.17,48
PJ Washington,PF/F/UTIL,DAL,37.09,9.55,31.91%,1.3%,2.92%,1.49%,$-2.42,48
Cody Williams,SF/F/UTIL,UTA,21.07,5.35,45.32%,0.0%,0.09%,0.1%,$-2.44,48
Lindy Waters III,SF/SG/G/F/UTIL,GSW,15.14,6.84,25.42%,0.36%,0.18%,0.1%,$-2.59,48
Quentin Grimes,SF/SG/G/F/UTIL,DAL,29.74,10.59,20.33%,0.88%,16.03%,7.93%,$-3.55,48
Alperen Sengun,C/UTIL,HOU,49.49,16.35,27.18%,0.87%,12.6%,13.0%,$-3.59,48
Rudy Gobert,C/UTIL,MIN,33.37,9.29,20.74%,0.72%,3.56%,7.83%,$-3.70,48
Emanuel Miller,PF/F/UTIL,CHI,0,0.0,43.94%,0.0%,0.02%,0.03%,$-3.79,48
Jericho Sims,C/UTIL,NYK,20.556284722222223,6.727564785461026,10.73%,5.06%,0.43%,0.1%,$-3.87,41
Vit Krejci,PG/SG/G/UTIL,ATL,23.51,7.53,11.78%,0.48%,31.65%,34.6%,$-4.13,48
Jamal Murray,PG/SG/G/UTIL,DEN,34.56,10.02,11.23%,0.62%,3.72%,2.62%,$-4.20,48
Brice Sensabaugh,PF/SF/F/UTIL,UTA,28.65,11.19,22.73%,0.81%,31.92%,22.75%,$-4.27,48
Josh Minott,SF/F/UTIL,MIN,5.5,3.66,20.63%,0.01%,0.11%,0.1%,$-4.29,48
Javonte Green,PF/SF/F/UTIL,NOP,18.14,6.94,27.66%,0.0%,0.25%,0.1%,$-4.42,48
Guerschon Yabusele,C/PF/F/UTIL,PHI,34.37154947916666,7.2723068733526075,17.66%,1.43%,2.79%,1.0%,$-4.66,41
Dejounte Murray,PG/G/UTIL,NOP,44.67,13.27,24.6%,0.0%,5.35%,3.96%,$-4.66,48
Peyton Watson,PF/F/UTIL,DEN,21.89,7.03,23.76%,0.0%,0.66%,0.58%,$-4.66,48
Russell Westbrook,PG/G/UTIL,DEN,37.99,11.98,20.76%,0.62%,6.17%,5.41%,$-4.68,48
Jaden Hardy,PG/SG/G/UTIL,DAL,22.57,10.04,16.79%,1.19%,1.9%,1.88%,$-4.71,48
Amen Thompson,SF/SG/G/F/UTIL,HOU,41.82,9.14,21.08%,0.24%,11.09%,3.86%,$-4.84,48
Nick Smith Jr.,SF/SG/G/F/UTIL,CHA,13.5,6.69,20.55%,0.0%,0.23%,0.1%,$-4.86,48
Bogdan Bogdanovic,SF/SG/G/F/UTIL,ATL,28.43,9.84,16.79%,0.51%,48.83%,34.79%,$-4.89,48
