PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Ja Morant (37338082),Amen Thompson (37338122),Mikal Bridges (37338239),Andrew Wiggins (37338228),Kyle Filipowski (37338420),Keyonte George (37338282),Jeremiah Robinson-Earl (37338708),Dejounte Murray (37338096),277.668125,307.823822508283,49600,100.00%,0,79.82%,0,61.599999999999994,$3.19,UTA 2,NOP 2,opp,1,dacoltz,2473,4611176144
Isaiah Collier (37338329),Trey Murphy III (37338144),Paul George (37338105),Precious Achiuwa (37338518),Wendell Carter Jr. (37338391),Damian Lillard (37338085),Bogdan Bogdanovic (37338369),Amen Thompson (37338122),277.70875,305.1858907271394,49600,100.00%,0,79.81%,0,92.49,$3.19,UTA 1,NOP 1,opp,1,dacoltz,827,4611176199
Chris Paul (37338220),Anthony Edwards (37338044),Brice Sensabaugh (37338383),David Roddy (37338933),Mark Williams (37338232),Russell Westbrook (37338173),Quentin Grimes (37338318),Dejounte Murray (37338096),277.63000000000005,311.22268521568355,49300,100.00%,0,79.8%,0,94.53,$3.19,SAS 1,MIN 1,opp,1,davis2543,3912,4611171646
Jalen Brunson (37338088),Quentin Grimes (37338318),Trey Murphy III (37338144),Santi Aldama (37338417),Jonathan Isaac (37338510),Garrison Mathews (37338609),Bogdan Bogdanovic (37338369),Nikola Jokic (37338012),277.64312499999994,312.68812736218104,49100,100.00%,0,79.78%,0,120.66000000000001,$3.19,ATL 2,NYK 1,opp,1,jpm11,1462,4610881409
Jalen Brunson (37338088),Bogdan Bogdanovic (37338369),Zach LaVine (37338073),Brice Sensabaugh (37338383),Kristaps Porzingis (37338160),Tyrese Maxey (37338037),Jonathan Isaac (37338510),Keaton Wallace (37338930),277.61758680555556,310.3235811095809,49400,100.00%,0,79.77%,0,133.12,$3.19,ATL 2,NYK 1,opp,1,loegotti32,840,4610970512
Vit Krejci (37338481),Devin Vassell (37338234),Jayson Tatum (37338023),Brice Sensabaugh (37338383),Onyeka Okongwu (37338359),Bogdan Bogdanovic (37338369),Giannis Antetokounmpo (37338014),Kyle Filipowski (37338420),277.6058029513889,314.201056254394,50000,100.00%,0,79.75%,0,149.88,$3.19,ATL 3,UTA 2,opp,1,LushyLeanPocket,4028,4611211907
Keyonte George (37338282),Vit Krejci (37338481),Bogdan Bogdanovic (37338369),Keldon Johnson (37338409),Alperen Sengun (37338065),Jordan Hawkins (37338687),Julius Randle (37338149),Nikola Jokic (37338012),277.6,313.98162585701743,49800,100.00%,0,79.7%,0,126.08,$3.19,ATL 2,UTA 1,opp,1,lozingitall,3704,4611045857
Jalen Brunson (37338088),Trey Murphy III (37338144),Paul George (37338105),Santi Aldama (37338417),Nikola Vucevic (37338099),Keaton Wallace (37338930),Josh Minott (37338832),Walker Kessler (37338183),277.68062499999996,307.9672788443,49200,100.00%,0,79.62%,0,77.74000000000001,$3.18,NYK 1,NOP 1,opp,1,nas69,107,4610746467
Jalen Brunson (37338088),Daeqwon Plowden (37338936),Brice Sensabaugh (37338383),OG Anunoby (37338270),Alperen Sengun (37338065),Bogdan Bogdanovic (37338369),Garrison Mathews (37338609),Giannis Antetokounmpo (37338014),277.54625,313.48468058929427,49800,100.00%,0,79.27%,0,135.62,$3.17,ATL 3,NYK 2,opp,1,JBCJBCJBC,642,4611015524
Mike Conley (37338507),Devin Vassell (37338234),Brice Sensabaugh (37338383),Cam Whitmore (37338526),Brook Lopez (37338338),Josh Giddey (37338141),Josh Hart (37338127),Victor Wembanyama (37338018),277.530625,309.69740635307426,49300,100.00%,0,79.22%,0,76.31,$3.17,SAS 2,MIN 1,opp,1,jimjengles6,2393,4611348174
Stephon Castle (37338477),Bogdan Bogdanovic (37338369),Brice Sensabaugh (37338383),Jonathan Isaac (37338510),Victor Wembanyama (37338018),Stephen Curry (37338062),David Roddy (37338933),Paolo Banchero (37338047),277.52,314.21042926977003,49100,100.00%,0,79.01%,0,149.39,$3.16,SAS 2,ATL 2,opp,1,dmoneygoble,3229,4610753940
Coby White (37338195),Stephon Castle (37338477),Bogdan Bogdanovic (37338369),Josh Hart (37338127),Giannis Antetokounmpo (37338014),Isaiah Collier (37338329),Jeremiah Robinson-Earl (37338708),Trey Murphy III (37338144),277.49062499999997,309.85039667126625,49800,100.00%,0,78.98%,0,122.89999999999999,$3.16,NOP 2,CHI 1,opp,1,tckrush,2241,4610907359
Jalen Brunson (37338088),Amen Thompson (37338122),Justin Edwards (37338734),Precious Achiuwa (37338518),Daniel Gafford (37338424),Keyonte George (37338282),Bogdan Bogdanovic (37338369),Nikola Jokic (37338012),277.51625,312.98344794019016,49600,100.00%,0,78.97%,0,137.87,$3.16,NYK 2,HOU 1,opp,1,iamthesqweez,869,4611048225
Jalen Brunson (37338088),Jalen Green (37338162),Devin Vassell (37338234),Naji Marshall (37338314),Jonathan Isaac (37338510),Josh Giddey (37338141),Khris Middleton (37338293),Mark Williams (37338232),277.603125,310.8126430718612,49200,100.00%,0,78.8%,0,90.82,$3.15,NYK 1,HOU 1,opp,1,ShaidyAdvice,2040,4611355683
Chris Paul (37338220),Bogdan Bogdanovic (37338369),Jayson Tatum (37338023),OG Anunoby (37338270),Alperen Sengun (37338065),Keyonte George (37338282),Cam Whitmore (37338526),Quentin Grimes (37338318),277.5189279513889,310.8139661247767,49400,100.00%,0,78.72%,0,101.38,$3.15,HOU 2,SAS 1,opp,1,beaker913,2673,4611131593
Josh Giddey (37338141),Vit Krejci (37338481),Paul George (37338105),Keldon Johnson (37338409),Naz Reid (37338300),Anthony Edwards (37338044),Quentin Grimes (37338318),Devin Vassell (37338234),277.4975,307.8446071194467,49200,100.00%,0,78.55%,0,76.61000000000001,$3.14,SAS 2,MIN 2,opp,1,papagates,944,4611025904
Vit Krejci (37338481),Bogdan Bogdanovic (37338369),Devin Vassell (37338234),Tristan da Silva (37338374),Daniel Gafford (37338424),Cole Anthony (37338216),Amen Thompson (37338122),Giannis Antetokounmpo (37338014),277.46,312.5825653960527,49100,100.00%,0,78.5%,0,140.92000000000002,$3.14,ATL 2,ORL 2,opp,1,TheKingKaz,4402,4611359929
CJ McCollum (37338156),Stephon Castle (37338477),Tristan da Silva (37338374),OG Anunoby (37338270),Brook Lopez (37338338),Mikal Bridges (37338239),Giannis Antetokounmpo (37338014),Jrue Holiday (37338323),277.4447743055556,307.6796595070525,49100,100.00%,0,78.28%,0,84.36,$3.13,NYK 2,MIL 2,opp,1,HotRodTheGreat,793,4611248508
Ayo Dosunmu (37338212),Jamal Murray (37338169),Paul George (37338105),Andrew Wiggins (37338228),Giannis Antetokounmpo (37338014),Bogdan Bogdanovic (37338369),Jeremiah Robinson-Earl (37338708),Keaton Wallace (37338930),277.4375,310.4058516500169,49800,100.00%,0,78.27%,0,107.07000000000001,$3.13,ATL 2,CHI 1,opp,1,papagates,955,4611025951
Vit Krejci (37338481),Garrison Mathews (37338609),Bogdan Bogdanovic (37338369),Keldon Johnson (37338409),Alperen Sengun (37338065),Coby White (37338195),Devin Vassell (37338234),Nikola Jokic (37338012),277.4,312.2309632367524,49800,100.00%,0,78.18%,0,143.11,$3.13,ATL 3,SAS 2,opp,1,zeahawks,3763,4611103359
Jalen Brunson (37338088),Coby White (37338195),Devin Vassell (37338234),Giannis Antetokounmpo (37338014),Mark Williams (37338232),Mike Conley (37338507),Keldon Johnson (37338409),Jeremiah Robinson-Earl (37338708),277.383125,313.6848644977883,49700,100.00%,0,78.16%,0,112.26,$3.13,SAS 2,NYK 1,opp,1,fivehorizons,1919,4611288262
Jalen Brunson (37338088),Vit Krejci (37338481),Bogdan Bogdanovic (37338369),Giannis Antetokounmpo (37338014),Wendell Carter Jr. (37338391),LaMelo Ball (37338029),Jeremiah Robinson-Earl (37338708),Nickeil Alexander-Walker (37338562),277.403125,312.58437981794646,49600,100.00%,0,78.16%,0,157.5,$3.13,ATL 2,NYK 1,opp,1,dacoltz,1848,4611176117
Vit Krejci (37338481),Bogdan Bogdanovic (37338369),Devin Vassell (37338234),Brice Sensabaugh (37338383),Nikola Jokic (37338012),Amen Thompson (37338122),Julius Randle (37338149),Jeremiah Robinson-Earl (37338708),277.38,310.7304347797746,49500,100.00%,0,78.16%,0,148.68,$3.13,ATL 2,SAS 1,opp,1,dacoltz,3981,4611176200
Vit Krejci (37338481),Devin Vassell (37338234),Trey Murphy III (37338144),Jaren Jackson Jr. (37338053),Rudy Gobert (37338268),Mikal Bridges (37338239),Guerschon Yabusele (37338278),OG Anunoby (37338270),277.344375,303.15306792997734,49100,100.00%,0,77.85%,0,87.6,$3.11,NYK 2,ATL 1,opp,1,Cnellisafb,242,4611318880
Ja Morant (37338082),Quentin Grimes (37338318),Garrison Mathews (37338609),David Roddy (37338933),Wendell Carter Jr. (37338391),Cole Anthony (37338216),Trey Murphy III (37338144),Victor Wembanyama (37338018),277.40000000000003,312.155382316988,49100,100.00%,0,77.84%,0,100.58000000000001,$3.11,ATL 2,ORL 2,opp,1,moklovin,3148,4610705479
