PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Brice Sensabaugh (37303235),Guerschon Yabusele (37303103),Evan Mobley (37302989),Darius Garland (37303029),Kyle Filipowski (37303285),Svi Mykhailiuk (37303337),270.15,270.37,366.90000000000003,49300,0.0%,0.5%,-0.44%,26.8%,244.18,$-1.74,UTA 3,CLE 2,generated,1
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Evan Mobley (37302989),Kenrich Williams (37303423),Cole Anthony (37303107),Kyle Filipowski (37303285),Mark Williams (37303083),268.46000000000004,269.53,364.36,49200,0.0%,0.2%,-0.44%,25.8%,231.7,$-1.75,OKC 3,PHI 1,generated,1
Derrick White (37303047),Donovan Mitchell (37302974),Brice Sensabaugh (37303235),Kyle Filipowski (37303285),Myles Turner (37303072),Keon Johnson (37303113),Svi Mykhailiuk (37303337),Shai Gilgeous-Alexander (37302935),268.96999999999997,264.11,361.14,49500,0.0%,0.6%,-0.45%,26.4%,214.07999999999998,$-1.79,UTA 3,BOS 1,generated,1
Darius Garland (37303029),Jaylen Brown (37302978),Aaron Wiggins (37303377),Kyle Filipowski (37303285),Myles Turner (37303072),Luguentz Dort (37303218),Bradley Beal (37303062),Devin Booker (37302957),260.81,258.41,344.07,49400,0.0%,0.5%,-0.45%,21.1%,155.05,$-1.8,OKC 2,PHX 2,generated,1
Shai Gilgeous-Alexander (37302935),Isaiah Joe (37303303),Ziaire Williams (37303157),Jayson Tatum (37302938),Kyle Filipowski (37303285),Collin Sexton (37303043),Noah Clowney (37303133),Cody Martin (37303223),268.39000000000004,259.19,363.26,49700,0.0%,0.8%,-0.45%,24.1%,171.69,$-1.8,OKC 2,BKN 2,generated,1
Shai Gilgeous-Alexander (37302935),Luguentz Dort (37303218),Paul George (37303009),Pascal Siakam (37303036),Isaiah Hartenstein (37303039),Isaiah Collier (37303246),Kenrich Williams (37303423),Tristan da Silva (37303168),267.23,258.47999999999996,355.99,49300,0.0%,0.3%,-0.45%,21.5%,150.8,$-1.78,OKC 4,PHI 1,generated,1
Isaiah Collier (37303246),Cole Anthony (37303107),Jayson Tatum (37302938),Micah Potter (37303452),Kyle Filipowski (37303285),Jaylen Brown (37302978),Brice Sensabaugh (37303235),LaMelo Ball (37302944),266.51,267.69,353.03,49200,0.0%,0.4%,-0.45%,21.1%,239.11999999999998,$-1.8,UTA 4,BOS 2,generated,1
Cole Anthony (37303107),Cason Wallace (37303281),Luguentz Dort (37303218),Jonathan Isaac (37303342),Evan Mobley (37302989),LaMelo Ball (37302944),Kyle Filipowski (37303285),Shai Gilgeous-Alexander (37302935),267.88,270.33000000000004,361.01,49600,0.0%,0.5%,-0.45%,26.2%,237.32,$-1.78,OKC 3,ORL 2,generated,1
Anthony Black (37303207),Isaiah Joe (37303303),Jayson Tatum (37302938),Kyle Filipowski (37303285),Kevin Durant (37302953),Isaiah Collier (37303246),Brice Sensabaugh (37303235),LaMelo Ball (37302944),263.77,261.95,351.83000000000004,49400,0.0%,1.3%,-0.45%,22.1%,202.76,$-1.82,UTA 3,ORL 1,generated,1
Cason Wallace (37303281),Donovan Mitchell (37302974),Jayson Tatum (37302938),Aaron Wiggins (37303377),Micah Potter (37303452),Shai Gilgeous-Alexander (37302935),Brice Sensabaugh (37303235),Cole Anthony (37303107),271.27,267.46,365.4799999999999,49500,0.0%,0.2%,-0.45%,27.4%,237.64,$-1.8,OKC 3,UTA 2,generated,1
Andrew Nembhard (37303179),Paul George (37303009),Jayson Tatum (37302938),Ricky Council IV (37303632),Micah Potter (37303452),Keon Johnson (37303113),Luguentz Dort (37303218),Shai Gilgeous-Alexander (37302935),270.42999999999995,261.49,356.63,49800,0.0%,0.6%,-0.45%,25.2%,159.74,$-1.81,PHI 2,OKC 2,generated,1
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Aaron Wiggins (37303377),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),Donovan Mitchell (37302974),Brice Sensabaugh (37303235),CJ McCollum (37303022),271.41,267.26,367.51,50000,0.0%,0.4%,-0.45%,26.8%,255.31,$-1.82,OKC 3,UTA 2,generated,1
Shai Gilgeous-Alexander (37302935),Bennedict Mathurin (37303098),Ricky Council IV (37303632),Jayson Tatum (37302938),Evan Mobley (37302989),Isaiah Collier (37303246),Cody Williams (37303327),Brice Sensabaugh (37303235),268.57,258.56,360.17,50000,0.0%,0.6%,-0.45%,24.8%,173.70000000000002,$-1.82,UTA 3,OKC 1,generated,1
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Brandon Boston Jr. (37303346),Brice Sensabaugh (37303235),Micah Potter (37303452),Jaylen Brown (37302978),Kevin Durant (37302953),Anthony Black (37303207),267.53,259.43,360.85999999999996,49200,0.0%,0.4%,-0.45%,25.6%,170.92,$-1.78,ORL 2,UTA 2,generated,1
Shai Gilgeous-Alexander (37302935),Isaiah Joe (37303303),Jaylen Brown (37302978),Aaron Wiggins (37303377),Guerschon Yabusele (37303103),LaMelo Ball (37302944),Brice Sensabaugh (37303235),Isaiah Collier (37303246),269.32,265.96000000000004,360.22999999999996,49500,0.0%,0.6%,-0.45%,26.0%,183.70000000000002,$-1.79,OKC 3,UTA 2,generated,1
Cole Anthony (37303107),Jordan Poole (37303002),Max Strus (37303260),Brice Sensabaugh (37303235),Drew Eubanks (37303397),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Tyrese Maxey (37302947),268.33000000000004,267.37,361.51,49000,0.0%,0.6%,-0.45%,25.6%,246.29,$-1.78,UTA 3,ORL 1,generated,1
Andrew Nembhard (37303179),Jaylen Brown (37302978),Jayson Tatum (37302938),Brice Sensabaugh (37303235),Kyle Filipowski (37303285),Isaiah Collier (37303246),Ziaire Williams (37303157),Devin Booker (37302957),268.5,263.23,353.96999999999997,49700,0.0%,0.2%,-0.45%,23.6%,206.88,$-1.79,UTA 3,BOS 2,generated,1
Shai Gilgeous-Alexander (37302935),Max Strus (37303260),Luguentz Dort (37303218),Aaron Wiggins (37303377),Kevin Durant (37302953),Bennedict Mathurin (37303098),Brice Sensabaugh (37303235),Paul George (37303009),269.90999999999997,262.11,359.9,49200,0.0%,0.4%,-0.45%,27.9%,172.64999999999998,$-1.8,OKC 3,CLE 1,generated,1
Shai Gilgeous-Alexander (37302935),Luguentz Dort (37303218),Jaylen Brown (37302978),Jayson Tatum (37302938),Guerschon Yabusele (37303103),Svi Mykhailiuk (37303337),Kyle Filipowski (37303285),Micah Potter (37303452),274.17,266.71000000000004,362.49,49900,0.0%,0.1%,-0.45%,29.0%,209.94,$-1.81,UTA 3,OKC 2,generated,1
Cason Wallace (37303281),Isaiah Joe (37303303),Jaylen Brown (37302978),Ricky Council IV (37303632),Noah Clowney (37303133),Kelly Oubre Jr. (37303089),Jayson Tatum (37302938),Kevin Durant (37302953),263.56,256.98,342.48,49600,0.0%,0.9%,-0.45%,22.1%,136.73,$-1.82,OKC 2,BOS 2,generated,1
Andrew Nembhard (37303179),Cole Anthony (37303107),Jayson Tatum (37302938),Pascal Siakam (37303036),Day'Ron Sharpe (37303214),Isaiah Collier (37303246),Jaylen Brown (37302978),Brice Sensabaugh (37303235),259.21999999999997,259.53,345.9,49200,0.0%,0.7%,-0.45%,18.7%,163.13,$-1.8,IND 2,BOS 2,generated,1
Cason Wallace (37303281),Andrew Nembhard (37303179),Jaylen Brown (37302978),Zion Williamson (37302961),Isaiah Hartenstein (37303039),Svi Mykhailiuk (37303337),Kyle Filipowski (37303285),Kevin Durant (37302953),263.91,260.86,352.40999999999997,49900,0.0%,0.8%,-0.45%,23.0%,212.42000000000002,$-1.79,OKC 2,UTA 2,generated,1
Cole Anthony (37303107),Bennedict Mathurin (37303098),Aaron Wiggins (37303377),Jalen Williams (37302986),Mark Williams (37303083),LaMelo Ball (37302944),Svi Mykhailiuk (37303337),Darius Garland (37303029),254.13,264.22,345.65000000000003,49700,0.0%,1.0%,-0.45%,16.4%,124.22,$-1.8,OKC 2,CHA 2,generated,1
Cole Anthony (37303107),Keon Johnson (37303113),Ricky Council IV (37303632),Guerschon Yabusele (37303103),Isaiah Hartenstein (37303039),LaMelo Ball (37302944),Kyle Filipowski (37303285),Evan Mobley (37302989),262.13,263.48,349.52000000000004,49000,0.0%,0.9%,-0.45%,21.5%,201.42,$-1.82,PHI 2,ORL 1,generated,1
Shai Gilgeous-Alexander (37302935),Max Strus (37303260),Ricky Council IV (37303632),Evan Mobley (37302989),Mark Williams (37303083),Andrew Nembhard (37303179),Brice Sensabaugh (37303235),Jaylen Brown (37302978),266.58,265.45,359.60999999999996,49400,0.0%,0.3%,-0.45%,22.4%,176.57999999999998,$-1.79,CLE 2,OKC 1,generated,1
Cason Wallace (37303281),Collin Sexton (37303043),Jayson Tatum (37302938),Aaron Wiggins (37303377),Yves Missi (37303124),Shai Gilgeous-Alexander (37302935),Luguentz Dort (37303218),Grayson Allen (37303185),267.79999999999995,257.65999999999997,358.83,49400,0.0%,0.4%,-0.45%,24.3%,162.5,$-1.79,OKC 4,UTA 1,generated,1
Cason Wallace (37303281),Caris LeVert (37303172),Paul George (37303009),Jayson Tatum (37302938),Mark Williams (37303083),Luguentz Dort (37303218),Brice Sensabaugh (37303235),Jalen Williams (37302986),262.10999999999996,261.40999999999997,347.98,49700,0.0%,0.6%,-0.45%,21.4%,167.49,$-1.81,OKC 3,CLE 1,generated,1
T.J. McConnell (37303334),Cole Anthony (37303107),Jaylen Brown (37302978),Evan Mobley (37302989),Drew Eubanks (37303397),Darius Garland (37303029),Aaron Wiggins (37303377),LaMelo Ball (37302944),247.95999999999998,263.53999999999996,338.5,49700,0.0%,0.9%,-0.45%,12.2%,117.91999999999999,$-1.81,CLE 2,IND 1,generated,1
