Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Jaylin Williams,C/UTIL,OKC,20.47,10.34,0.05%,0.0%,0.11%,0.37%,$-2.98,48
Malcolm Brogdon,PG/SG/G/UTIL,WAS,23.45,10.31,0.97%,0.0%,0.45%,1.42%,$-2.99,48
Brandon Clarke,C/UTIL,MEM,0,0.0,0.0%,0.0%,1.67%,5.68%,$-2.99,48
Corey Kispert,SF/SG/G/F/UTIL,WAS,17.18,6.72,0.04%,0.0%,0.21%,0.47%,$-3.00,48
Giannis Antetokounmpo,C/PF/F/UTIL,MIL,0,0.0,0.0%,0.0%,1.94%,0.11%,$-3.00,48
Brook Lopez,C/UTIL,MIL,0,0.0,0.0%,0.0%,0.53%,1.16%,$-3.00,48
Trey Lyles,C/PF/F/UTIL,SAC,13.08,6.71,3.62%,0.0%,0.08%,0.1%,$-3.01,48
Jake LaRavia,PF/SF/F/UTIL,MEM,11.06,6.11,0.0%,0.0%,0.1%,0.1%,$-3.03,48
Khris Middleton,SF/SG/G/F/UTIL,MIL,0,0.0,0.0%,0.0%,0.05%,0.05%,$-3.03,48
Russell Westbrook,PG/G/UTIL,DEN,0,0.0,0.0%,0.0%,0.05%,0.06%,$-3.03,48
OG Anunoby,PF/SF/F/UTIL,NYK,0,0.0,0.0%,0.0%,0.1%,0.06%,$-3.03,48
Enrique Freeman,C/PF/F/UTIL,IND,0,0.0,0.0%,0.0%,0.05%,0.03%,$-3.03,48
Keaton Wallace,PG/G/UTIL,ATL,9.95,5.55,0.01%,0.0%,0.05%,0.01%,$-3.03,48
Seth Curry,SG/G/UTIL,CHA,13.55,6.32,0.0%,0.0%,0.05%,0.1%,$-3.03,48
Josh Minott,SF/F/UTIL,MIN,0,0.0,0.08%,0.0%,0.1%,0.03%,$-3.03,48
Tre Jones,PG/G/UTIL,SAS,0,0.0,0.0%,0.0%,0.05%,0.03%,$-3.03,48
Justin Champagnie,PF/SF/F/UTIL,WAS,0,0.0,0.0%,0.0%,0.05%,0.03%,$-3.03,48
Harrison Ingram,PF/F/UTIL,SAS,0,0.0,0.0%,0.0%,0.05%,0.03%,$-3.03,48
Cason Wallace,PG/SG/G/UTIL,OKC,0,0.0,0.0%,0.0%,0.05%,0.04%,$-3.03,48
Brandon Ingram,PG/SG/G/UTIL,NOP,0,0.0,0.0%,0.0%,0.14%,0.08%,$-3.06,48
Vit Krejci,PG/SF/G/F/UTIL,ATL,16.08,6.74,0.0%,0.0%,0.09%,0.1%,$-3.08,48
