Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Trey Jemison III,C,NOP,dk,1.6,3000,0.5,0,-13,PHX,110.75,223,,,,,Proj 👉,0.2,0.0,0.2,0.0,0.0,0.0,0.0,2.0,1132023,36902608
Jamal Cain,SF,NOP,dk,1.5,3000,0.5,0,-13,PHX,110.75,223,,,,,Proj 👉,0.3,0.0,0.2,0.0,0.0,0.0,0.0,2.0,1060409,36902542
Hunter Tyson,SF/PF,DEN,dk,1.4,3000,0.5,0,-13,CLE,114.5,232.5,,,,,Proj 👉,0.1,0.0,0.1,0.0,0.0,0.0,0.0,2.0,1132015,36902814
Pacome Dadiet,SG/SF,NYK,dk,1.3,3000,0.4,0,-13,CHA,116.25,218,,,,,Proj 👉,0.1,0.0,0.1,0.0,0.0,0.0,0.0,2.0,1500956,36902593
Sandro Mamukelashvili,PF/C,SAS,dk,1.2,3000,0.4,0,-13,CHI,119,236,,,,,Proj 👉,0.1,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1060351,36902653
Matt Ryan,SG/SF,NYK,dk,0.5,3000,0.2,0,-14,CHA,116.25,218,,,,,Proj 👉,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,880463,36902588
Dj Carton,PG,TOR,dk,0.00,3000,0,0,-15,OKC,108.25,227,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176224,36902640
Garrett Temple,SG,TOR,dk,0.00,3000,0,0,-15,OKC,108.25,227,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263903,36902632
Kelly Olynyk,C,TOR,dk,0.00,5600,0,0,-28,OKC,108.25,227,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514882,36902211
Jaylin Williams,C,OKC,dk,0.00,3000,0,0,-15,TOR,118.75,227,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231367,36902762
Malaki Branham,SG/SF,SAS,dk,0.00,3000,0,0,-15,CHI,119,236,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325163,36902565
Tre Jones,PG,SAS,dk,0.00,3000,0,0,-15,CHI,119,236,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132030,36902558
Luke Kennard,SG/SF,MEM,dk,0.00,3200,0,0,-16,SAC,123.25,243,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887661,36902511
John Konchar,SG/SF,MEM,dk,0.00,3000,0,0,-15,SAC,123.25,243,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852907,36902622
Yuki Kawamura,PG,MEM,dk,0.00,3000,0,0,-15,SAC,123.25,243,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1453977,36902614
GG Jackson,PF,MEM,dk,0.00,3000,0,0,-15,SAC,123.25,243,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405584,36902627
Colin Castleton,C,MEM,dk,0.00,3000,0,0,-15,SAC,123.25,243,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133800,36902617
Cam Spencer,SG,MEM,dk,0.00,3000,0,0,-15,SAC,123.25,243,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177001,36902619
Doug Mcdermott,PF,SAC,dk,0.00,3000,0,0,-15,MEM,119.75,243,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554804,36902570
Zach Edey,C,MEM,dk,0.00,4600,0,0,-23,SAC,123.25,243,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231414,36902329
Chet Holmgren,PF,OKC,dk,0.00,8100,0,0,-40,TOR,118.75,227,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343009,36902086
Harrison Ingram,PF,SAS,dk,0.00,3000,0,0,-15,CHI,119,236,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326454,36902647
Adama Sanogo,C,CHI,dk,0.00,3000,0,0,-15,SAS,117,236,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231223,36902776
Orlando Robinson,C,SAC,dk,0.00,3000,0,0,-15,MEM,119.75,243,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176770,36902735
