Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Al Horford,PF/C,BOS,dk,0.00,4900,0,0,-24,DET,118.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280587,36987629
Cole Swider,C,DET,dk,0.00,3000,0,0,-15,BOS,106.75,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138651,36987833
Daniss Jenkins,PG,DET,dk,0.00,3000,0,0,-15,BOS,106.75,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1182387,36987839
Jeremiah Robinson-Earl,PF/C,NOP,dk,0.00,3800,0,0,-19,SAC,112.25,231.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176176,36987688
Ulrich Chomche,C,TOR,dk,0.00,3000,0,0,-15,MIA,107.25,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1517205,36987805
Javonte Green,SF/PF,NOP,dk,0.00,3500,0,0,-17,SAC,112.25,231.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624174,36987705
Thomas Bryant,C,MIA,dk,0.00,3000,0,0,-15,TOR,117.25,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896601,36987731
Scottie Barnes,PG/SF,TOR,dk,0.00,9400,0,0,-47,MIA,107.25,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251666,36987517
Immanuel Quickley,PG,TOR,dk,0.00,6800,0,0,-34,MIA,107.25,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134175,36987571
Pelle Larsson,SF,MIA,dk,0.00,3000,0,0,-15,TOR,117.25,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231950,36987752
Bruce Brown,SG/SF,TOR,dk,0.00,4700,0,0,-23,MIA,107.25,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941834,36987642
Jordan Mclaughlin,PG,SAC,dk,0.00,3000,0,0,-15,NOP,119.25,231.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844465,36987812
Josh Christopher,PG,MIA,dk,0.00,3000,0,0,-15,TOR,117.25,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231305,36987740
Bruno Fernando,C,TOR,dk,0.00,4200,0,0,-21,MIA,107.25,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076674,36987662
Dj Carton,PG,TOR,dk,0.00,3000,0,0,-15,MIA,107.25,224.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176224,36987807
Jayson Tatum,SF/PF,BOS,dk,0.00,9800,0,0,-49,DET,118.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937647,36987508
JD Davison,PG,BOS,dk,0.00,3000,0,0,-15,DET,118.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323515,36987788
Alondes Williams,PG/SG,DET,dk,0.00,3000,0,0,-15,BOS,106.75,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193119,36987835
Jalen Duren,C,DET,dk,0.00,5600,0,0,-28,BOS,106.75,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344765,36987598
