id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury,full_name
6954,Missi,Yves,26.31,NOR,C,MIL,28.00,10.75,0.00,8.23,1.36,0.45,1.26,1.03,4.60,1.55,0.89,4.60,4.40,0.22,0.000,,Yves Missi,
6532,Nembhard,Andrew,25.95,IND,G,@ DEN,31.00,11.55,0.86,3.11,5.35,1.18,0.20,1.55,3.51,1.95,0.55,4.37,4.66,0.05,0.001,,Andrew Nembhard,
6113,Porter Jr.,Kevin,25.81,MIL,G,@ NOR,24.00,12.17,0.89,3.66,4.56,1.26,0.19,2.31,4.11,1.28,0.60,5.00,6.00,0.02,0.000,,Kevin Porter Jr.,
5105,O'Neale,Royce,25.72,PHO,F,@ NYK,29.00,11.40,3.07,5.24,2.55,0.98,0.45,1.03,0.98,0.23,0.11,4.05,5.10,0.05,0.000,,Royce O'Neale,
6980,Shead,Jamal,25.69,TOR,G,@ BKN,28.00,10.73,1.41,2.21,6.65,1.08,0.24,2.45,2.70,1.10,0.34,4.11,5.54,0.06,0.001,,Jamal Shead,
6568,Juzang,Johnny,25.46,UTA,G,@ ATL,28.00,15.17,3.42,3.73,1.71,0.73,0.16,0.90,1.89,1.13,0.28,5.31,6.31,0.02,0.000,,Johnny Juzang,
5902,Johnson,Keldon,24.99,SAS,F,@ POR,25.00,14.16,1.44,4.89,1.77,0.67,0.25,1.07,3.75,2.34,0.65,5.19,5.60,0.03,0.000,,Keldon Johnson,
6743,Sensabaugh,Brice,24.99,UTA,F,@ ATL,27.00,14.18,2.49,3.91,2.41,0.92,0.15,2.21,2.67,1.37,0.16,5.16,5.97,0.02,0.000,,Brice Sensabaugh,
6934,Risacher,Zaccharie,24.95,ATL,F,UTA,25.00,14.81,2.11,3.84,1.44,0.80,0.55,1.20,3.50,1.48,0.54,5.61,5.90,0.02,0.000,,Zaccharie Risacher,
6333,Champagnie,Justin,24.89,WAS,F,@ BOS,26.00,10.21,1.45,6.73,1.43,1.10,0.78,0.92,2.26,1.34,0.51,3.71,4.83,0.06,0.000,,Justin Champagnie,
6572,Robinson,Orlando,24.74,TOR,C,@ BKN,22.00,10.84,0.55,6.79,2.40,0.49,0.62,1.56,3.43,2.33,0.62,3.98,4.19,0.06,0.001,,Orlando Robinson,
3939,Nurkic,Jusuf,24.65,CHA,C,CHI,18.00,9.41,0.56,7.01,2.75,0.65,0.62,1.40,2.95,1.83,0.82,3.51,3.83,0.15,0.002,,Jusuf Nurkic,
5491,Brooks,Dillon,24.52,HOU,G,@ GSW,33.00,14.67,2.64,3.57,1.72,0.80,0.21,1.11,2.73,1.29,0.31,5.37,7.16,0.02,0.000,Playing,Dillon Brooks,
6308,Williams,Ziaire,24.49,BKN,F,TOR,25.00,11.44,1.90,5.66,1.64,1.09,0.47,1.24,1.87,2.00,0.42,3.77,5.77,0.05,0.000,Off Injury Report,Ziaire Williams,
2464,Paul,Chris,24.20,SAS,G,@ POR,27.00,8.47,1.52,3.13,5.99,1.18,0.20,1.46,1.35,1.21,0.14,2.87,3.85,0.03,0.001,,Chris Paul,
6289,Kuminga,Jonathan,24.18,GSW,F,HOU,25.00,13.44,0.91,4.50,1.89,0.77,0.52,1.59,3.99,2.73,1.22,4.90,6.18,0.02,0.000,,Jonathan Kuminga,
6514,Eason,Tari,24.17,HOU,F,@ GSW,23.00,10.93,1.03,5.85,1.16,1.36,0.75,1.21,3.28,1.28,0.41,4.31,4.65,0.04,0.000,,Tari Eason,
6032,Hachimura,Rui,24.15,LAL,F,@ OKC,32.00,13.30,1.60,5.04,1.27,0.70,0.42,0.95,3.52,1.46,0.51,5.12,5.05,0.06,0.000,Off Injury Report,Rui Hachimura,
6505,Mathurin,Bennedict,24.06,IND,G,@ DEN,28.00,14.89,1.32,3.83,1.67,0.55,0.38,1.33,4.00,2.93,0.59,5.32,6.19,0.02,0.000,,Bennedict Mathurin,
6566,Champagnie,Julian,23.84,SAS,F,@ POR,28.00,12.22,2.75,4.20,1.56,1.05,0.52,1.04,1.46,1.05,0.13,4.21,5.95,0.02,0.000,,Julian Champagnie,
2872,Westbrook,Russell,23.64,DEN,G,IND,21.00,10.59,0.95,3.61,4.56,0.87,0.36,2.52,3.11,1.52,0.79,4.06,4.32,0.02,0.000,,Russell Westbrook,
3944,Payton,Elfrid,23.58,NOR,G,MIL,23.00,7.06,0.23,3.90,6.84,0.93,0.22,2.16,2.88,0.61,0.60,3.11,4.34,0.03,0.001,,Elfrid Payton,
6161,Nesmith,Aaron,23.55,IND,F,@ DEN,28.00,13.15,1.89,3.68,1.59,0.87,0.55,0.79,2.79,1.90,0.28,4.68,4.69,0.02,0.000,,Aaron Nesmith,
6345,Hauser,Sam,23.51,BOS,F,WAS,24.00,12.86,3.72,4.10,1.24,0.74,0.23,0.33,0.75,0.20,0.01,4.47,5.71,0.02,0.000,,Sam Hauser,
5468,Allen,Jarrett,23.39,CLE,C,SAC,20.00,9.86,0.00,6.96,1.59,0.72,0.67,0.84,3.97,1.92,0.74,3.97,1.63,0.05,0.000,Off Injury Report,Jarrett Allen,
5412,Prince,Taurean,23.24,MIL,F,@ NOR,30.00,11.31,2.40,3.83,2.47,1.17,0.24,1.21,1.71,0.69,0.16,4.11,4.75,0.01,0.000,,Taurean Prince,
5235,Niang,Georges,23.21,ATL,F,UTA,25.00,13.09,2.63,4.11,1.82,0.48,0.25,1.12,2.01,1.18,0.27,4.64,5.19,0.02,0.000,,Georges Niang,
3435,Barnes,Harrison,23.04,SAS,F,@ POR,29.00,14.08,2.07,3.60,1.61,0.50,0.17,0.71,2.58,2.71,0.73,4.65,4.75,0.02,0.000,,Harrison Barnes,
6561,Walker,Jabari,23.04,POR,F,SAS,20.00,10.54,0.79,7.01,1.15,0.63,0.21,0.67,3.10,1.97,0.72,3.89,3.81,0.18,0.000,,Jabari Walker,
7058,Brooks Jr.,Keion,22.66,NOR,F,MIL,26.00,11.31,1.01,5.03,1.84,0.63,0.53,1.19,3.35,1.58,0.59,4.36,5.40,0.05,0.000,,Keion Brooks Jr.,
5961,Thybulle,Matisse,22.64,POR,G,SAS,27.00,8.65,1.84,3.33,1.95,2.30,0.87,0.73,1.33,0.47,0.16,3.17,4.66,0.01,0.000,,Matisse Thybulle,
7078,Battle,Jamison,22.23,TOR,F,@ BKN,27.00,12.45,2.99,3.99,1.57,0.34,0.30,0.73,1.45,0.58,0.07,4.44,5.97,0.02,0.000,,Jamison Battle,
6326,Robinson-Earl,Jeremiah,22.16,NOR,F,MIL,25.00,9.76,1.24,6.13,1.68,0.79,0.19,0.88,2.45,1.14,0.27,3.69,4.56,0.05,0.000,,Jeremiah Robinson-Earl,
6757,Jones,Colby,21.63,WAS,G,@ BOS,26.00,9.00,0.96,4.69,2.30,1.10,0.61,1.21,2.56,1.00,0.57,3.52,4.06,0.01,0.000,,Colby Jones,
5701,Okogie,Josh,21.57,CHA,G,CHI,24.00,10.18,1.07,4.12,1.44,1.30,0.67,0.85,2.54,1.89,0.71,3.61,4.25,0.02,0.000,,Josh Okogie,
6299,McBride,Miles,21.40,NYK,G,PHO,26.00,9.74,1.81,2.63,3.29,1.15,0.25,0.56,1.68,0.95,0.15,3.49,4.99,0.01,0.000,Questionable,Miles McBride,
6513,Agbaji,Ochai,21.27,TOR,G,@ BKN,30.00,11.06,1.56,3.58,1.71,0.84,0.61,1.06,2.92,0.54,0.21,4.48,4.77,0.01,0.000,Off Injury Report,Ochai Agbaji,
6939,Salaun,Tidjane,21.23,CHA,F,CHI,27.00,8.28,1.23,6.36,1.81,0.72,0.34,1.03,1.43,1.73,0.60,2.66,3.97,0.04,0.000,,Tidjane Salaun,
6961,Dunn,Ryan,21.16,PHO,F,@ NYK,25.00,10.77,1.75,4.39,1.03,0.67,0.72,0.65,2.60,0.32,0.43,4.35,5.54,0.02,0.000,,Ryan Dunn,
5029,Lyles,Trey,21.03,SAC,F,@ CLE,26.00,8.59,1.53,6.02,1.51,0.68,0.43,0.80,1.47,1.06,0.38,3.00,4.23,0.04,0.000,,Trey Lyles,
3711,Adams,Steven,20.89,HOU,C,@ GSW,20.00,5.46,0.00,8.51,1.81,0.60,0.76,1.36,2.21,1.04,1.28,2.21,1.79,0.03,0.000,,Steven Adams,
7004,Beekman,Reece,20.82,BKN,G,TOR,28.00,8.17,0.79,2.59,3.84,1.72,0.30,1.59,2.23,1.34,0.49,3.02,5.22,0.01,0.000,Starting,Reece Beekman,
6753,Smith Jr.,Nick,20.60,CHA,G,CHI,25.00,12.40,2.20,2.45,2.51,0.36,0.16,1.56,2.43,0.94,0.09,4.63,6.29,0.01,0.000,,Nick Smith Jr.,
6975,Ighodaro,Oso,20.56,PHO,F,@ NYK,29.00,7.00,0.02,5.76,2.13,0.75,1.09,1.12,3.04,0.86,0.62,3.06,1.84,0.02,0.000,,Oso Ighodaro,
3353,Biyombo,Bismack,20.46,SAS,C,@ POR,26.00,5.78,0.00,6.60,1.77,0.60,1.61,1.32,2.46,0.86,0.97,2.46,1.84,0.01,0.000,,Bismack Biyombo,
6736,Wallace,Cason,20.32,OKC,G,LAL,26.00,8.18,1.08,3.18,2.64,1.58,0.44,0.78,2.25,0.44,0.10,3.33,3.97,0.01,0.000,,Cason Wallace,
5988,Dort,Luguentz,20.14,OKC,G,LAL,28.00,10.02,2.32,3.16,1.52,1.10,0.43,0.69,1.31,0.44,0.19,3.63,4.68,0.01,0.000,,Luguentz Dort,
6283,Moody,Moses,20.05,GSW,G,HOU,26.00,11.42,1.88,3.01,1.09,0.79,0.54,0.77,1.94,1.90,0.49,3.82,5.21,0.01,0.000,,Moses Moody,
3863,Curry,Seth,19.91,CHA,G,CHI,25.00,11.41,1.93,2.67,1.89,0.69,0.16,0.69,2.28,1.06,0.14,4.21,4.62,0.01,0.000,,Seth Curry,
6734,Walker,Jarace,19.86,IND,F,@ DEN,22.00,8.85,1.43,3.62,2.19,1.02,0.53,1.26,1.80,0.96,0.45,3.23,3.61,0.01,0.000,,Jarace Walker,
6806,Tshiebwe,Oscar,19.82,UTA,F,@ ATL,20.00,7.00,0.01,7.57,0.80,0.85,0.39,0.95,2.75,1.47,0.53,2.76,2.19,0.10,0.000,,Oscar Tshiebwe,
6076,Strus,Max,19.81,CLE,F,SAC,23.00,8.50,1.96,3.84,2.97,0.59,0.18,0.95,0.98,0.66,0.15,2.94,3.83,0.01,0.000,,Max Strus,
5098,McConnell,T.J.,19.70,IND,G,@ DEN,17.00,8.42,0.19,2.03,4.65,0.93,0.22,1.28,3.63,0.59,0.18,3.82,3.36,0.01,0.000,,T.J. McConnell,
6531,Watson,Peyton,19.57,DEN,G,IND,26.00,8.24,0.66,3.87,1.57,0.63,1.50,0.93,2.33,1.60,0.54,2.99,3.25,0.01,0.000,,Peyton Watson,
6993,Reeves,Antonio,19.47,NOR,G,MIL,25.00,11.29,2.06,2.61,1.91,0.61,0.15,1.02,2.16,0.79,0.21,4.22,6.05,0.01,0.000,,Antonio Reeves,
