id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3435,Barnes,Harrison,19.27,SAS,F,@ LAL,30.00,10.91,1.47,3.62,1.44,0.45,0.16,0.60,2.25,2.00,0.48,3.72,3.96,0.01,0.000,,
6032,Hachimura,Rui,18.15,LAL,F,SAS,26.00,8.11,0.94,4.74,1.11,0.68,0.46,0.64,2.20,0.89,0.27,3.14,3.60,0.01,0.000,,
6731,Whitmore,Cam,17.69,HOU,F,MEM,16.00,11.08,1.29,2.43,1.00,0.63,0.30,0.88,2.64,1.93,0.86,3.93,4.81,0.01,0.000,,
5028,Looney,Kevon,17.67,GSW,F,@ TOR,16.00,5.26,0.00,6.43,1.86,0.54,0.40,0.61,2.19,0.88,0.64,2.19,1.41,0.01,0.000,,
6113,Porter Jr.,Kevin,17.45,LAC,G,MIA,17.00,8.42,0.64,3.14,2.68,0.65,0.16,1.73,2.84,0.82,0.38,3.48,4.35,0.01,0.000,,
5442,Jones,Derrick,17.31,LAC,F,MIA,24.00,9.01,0.91,3.39,0.93,0.85,0.49,0.96,2.68,0.92,0.31,3.59,3.61,0.01,0.000,,
6299,McBride,Miles,17.24,NYK,G,DET,21.00,8.04,1.58,2.20,2.71,0.84,0.15,0.79,1.26,0.78,0.19,2.84,3.80,0.00,0.000,,
5459,Kennard,Luke,16.94,MEM,G,@ HOU,22.00,8.22,1.93,2.53,2.64,0.51,0.05,0.99,0.68,1.07,0.14,2.61,3.34,0.00,0.000,,
5752,Robinson,Duncan,16.50,MIA,F,@ LAC,19.00,9.38,2.02,1.72,2.10,0.50,0.11,0.83,1.33,0.66,0.10,3.35,4.28,0.00,0.000,,
6974,Wells,Jaylen,16.43,MEM,F,@ HOU,24.00,9.29,1.46,3.04,1.35,0.47,0.11,1.17,1.78,1.35,0.30,3.24,4.61,0.01,0.000,,
6013,Coffey,Amir,16.32,LAC,F,MIA,24.00,9.54,1.53,2.60,1.15,0.52,0.16,0.65,1.86,1.23,0.23,3.39,3.85,0.00,0.000,,
6067,Clarke,Brandon,16.26,MEM,F,@ HOU,18.00,6.39,0.09,4.91,0.98,0.61,0.65,0.61,2.72,0.68,0.32,2.81,1.97,0.00,0.000,,
6301,Kispert,Corey,16.22,WAS,F,MIN,23.00,9.44,1.65,2.54,1.40,0.47,0.13,1.06,1.82,0.85,0.17,3.47,4.16,0.00,0.000,,
5342,Dunn,Kris,16.01,LAC,G,MIA,20.00,5.65,0.78,3.06,2.37,1.22,0.32,0.99,1.54,0.23,0.11,2.32,2.94,0.00,0.000,Questionable,
3901,Anderson,Kyle,15.46,GSW,F,@ TOR,16.00,5.66,0.56,2.99,2.40,0.73,0.51,0.60,1.71,0.56,0.24,2.27,2.89,0.00,0.000,Questionable,
5899,Highsmith,Haywood,15.36,MIA,F,@ LAC,25.00,6.08,1.13,3.40,1.21,1.01,0.50,0.74,1.18,0.33,0.16,2.31,2.49,0.00,0.000,,
6496,Waters III,Lindy,15.04,GSW,G,@ TOR,20.00,7.37,1.77,2.50,1.21,0.65,0.39,0.48,0.86,0.34,0.08,2.63,3.54,0.00,0.000,,
6309,Bassey,Charles,14.82,SAS,C,@ LAL,13.00,5.01,0.02,4.75,1.00,0.36,1.01,0.77,2.18,0.59,0.34,2.20,1.10,0.00,0.000,,
6957,George,Kyshawn,14.57,WAS,G,MIN,21.00,6.09,1.19,3.09,1.46,0.67,0.49,0.98,0.88,0.76,0.21,2.07,3.54,0.00,0.000,,
6565,Pippen Jr.,Scotty,14.18,MEM,G,@ HOU,15.00,6.20,0.70,1.96,2.52,0.75,0.31,1.45,1.60,0.90,0.37,2.30,2.72,0.00,0.000,,
6980,Shead,Jamal,13.88,TOR,G,GSW,16.00,5.56,0.70,1.26,3.66,0.64,0.13,1.28,1.49,0.48,0.21,2.19,2.97,0.00,0.000,Questionable,
6170,Stewart,Isaiah,13.46,DET,C,@ NYK,17.00,4.61,0.26,4.05,1.30,0.25,0.79,0.74,1.63,0.57,0.16,1.89,1.63,0.00,0.000,,
