Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
69,4606619980,westonselman (1/20),150.65001,203,C Kristaps Porzingis F Paul George G Shai Gilgeous-Alexander PF LOCKED PG Cason Wallace SF Max Strus SG Cole Anthony UTIL Isaiah Hartenstein,,Kentavious Caldwell-Pope,SG,0.07%,0
69,4606711277,oneals1226,150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Ben Sheppard,SF,0.05%,14.5
69,4606714548,cashmoney1977,150.65001,203,C Isaiah Hartenstein F Max Strus G Cason Wallace PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cole Anthony UTIL Kristaps Porzingis,,Jarace Walker,SF,0.03%,19.25
69,4606906942,EaglesPhan66 (1/2),150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Jared McCain,PG,0.03%,0
69,4606916255,grama14,150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Adem Bona,UTIL,0.03%,1.5
69,4606927905,EaglesPhan66 (2/2),150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Sam Merrill,G,0.03%,9.25
69,4607120057,DionSlanders1154,150.65001,203,C Isaiah Hartenstein F Max Strus G Cason Wallace PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cole Anthony UTIL Kristaps Porzingis,,Xavier Tillman,F,0.02%,0
69,4607293462,gutp (7/20),150.65001,203,C Isaiah Hartenstein F Max Strus G Cason Wallace PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cole Anthony UTIL Kristaps Porzingis,,Jordan Walsh,SF,0.02%,0
69,4607538787,allyoucanbe (1/2),150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Ousmane Dieng,PF,0.02%,0
69,4607542275,haylss.y,150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Drew Peterson,PF,0.02%,0
69,4607545566,zongetsu23 (1/5),150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Gary Harris,SG,0.02%,0
69,4607545567,zongetsu23 (2/5),150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,James Wiseman,C,0.02%,0
69,4607545568,zongetsu23 (3/5),150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Ajay Mitchell,UTIL,0.02%,0
69,4607545569,zongetsu23 (4/5),150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Adam Flagler,G,0.02%,0
69,4607545570,zongetsu23 (5/5),150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,KJ Martin,SF,0.02%,0
69,4607649953,eddiedavid11 (1/2),150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Quenton Jackson,PG,0.02%,0
69,4607649954,eddiedavid11 (2/2),150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Patrick Baldwin Jr.,PF,0.02%,0
69,4607652570,sbris10 (2/2),150.65001,203,C Kristaps Porzingis F Max Strus G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Isaiah Hartenstein,,Reggie Jackson,UTIL,0.02%,3.5
69,4607752094,tzshannon,150.65001,203,C Isaiah Hartenstein F Max Strus G Cason Wallace PF LOCKED PG Shai Gilgeous-Alexander SF Paul George SG Cole Anthony UTIL Kristaps Porzingis,,Richaun Holmes,UTIL,0.02%,0
69,4607809193,SoonersTide (15/20),150.65001,203,C Kristaps Porzingis F Max Strus G Shai Gilgeous-Alexander PF LOCKED PG Cason Wallace SF Paul George SG Cole Anthony UTIL Isaiah Hartenstein,,,
69,4607846491,wwestry (2/5),150.65001,203,C Kristaps Porzingis F Paul George G Cole Anthony PF LOCKED PG Shai Gilgeous-Alexander SF Max Strus SG Cason Wallace UTIL Isaiah Hartenstein,,,
69,4607633978,bernie071392 (4/20),115.09001,203,C Isaiah Hartenstein F Evan Mobley G Shai Gilgeous-Alexander PF Aaron Wiggins PG Darius Garland SF Max Strus SG Cole Anthony UTIL Jonathan Isaac,,,
97,4607827317,rbnyse (1/4),148.48,202.75,C Isaiah Hartenstein F LOCKED G Shai Gilgeous-Alexander PF Evan Mobley PG Darius Garland SF Aaron Wiggins SG Cole Anthony UTIL Cason Wallace,,,
98,4606885378,jsanders61 (16/20),112.36,202.25,C Isaiah Hartenstein F Max Strus G Tyrese Maxey PF Aaron Wiggins PG T.J. McConnell SF Jaylen Brown SG Cole Anthony UTIL Evan Mobley,,,
99,4607481418,clmabrey (5/10),150.65001,201.5,C Kristaps Porzingis F LOCKED G Shai Gilgeous-Alexander PF Aaron Wiggins PG Cole Anthony SF Max Strus SG Paul George UTIL Isaiah Hartenstein,,,
99,4607471306,illwood (5/20),150.65,201.5,C Kristaps Porzingis F Paul George G Shai Gilgeous-Alexander PF LOCKED PG Cole Anthony SF Aaron Wiggins SG Max Strus UTIL Isaiah Hartenstein,,,
