Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
58,4655137484,rayray30 (4/16),326.49002,61.25,C LOCKED F LOCKED G Brandin Podziemski PF Paolo Banchero PG Andrew Nembhard SF RJ Barrett SG Jalen Green UTIL LOCKED,,Jamal Shead,PG,0.28%,-0.5
58,4655141704,Ambiance1 (2/4),283.38,61.25,C Alperen Sengun F LOCKED G Tyrese Haliburton PF Dillon Brooks PG Amen Thompson SF Aaron Nesmith SG Jalen Green UTIL Cory Joseph,,Jonathan Isaac,UTIL,0.25%,5.25
60,4655360578,idkhowtogamble,309.92,60.75,C LOCKED F Zaccharie Risacher G Andrew Nembhard PF Jabari Smith Jr. PG Immanuel Quickley SF Scottie Barnes SG Brandin Podziemski UTIL Alperen Sengun,,Chris Boucher,PF,0.24%,0
60,4655540924,Rugiatu (5/6),302.21,60.75,C Thomas Bryant F OG Anunoby G Jalen Brunson PF Dillon Brooks PG LOCKED SF Aaron Nesmith SG Andrew Nembhard UTIL Tyrese Haliburton,,Goga Bitadze,C,0.18%,3.75
62,4655296495,jmanley12 (15/20),306.46,60.5,C Alperen Sengun F Obi Toppin G LOCKED PF Paolo Banchero PG Scottie Barnes SF Franz Wagner SG Ja'Kobe Walter UTIL LOCKED,,Jonathan Mogbo,PF,0.17%,2
62,4655365180,immakulatewins (5/5),305.26,60.5,C Myles Turner F Paolo Banchero G RJ Barrett PF OG Anunoby PG Immanuel Quickley SF LOCKED SG Ja'Kobe Walter UTIL Scottie Barnes,,Gui Santos,F,0.13%,0
62,4655589585,rhem007,302.77002,60.5,C LOCKED F Dillon Brooks G Aaron Nesmith PF Paolo Banchero PG Amen Thompson SF RJ Barrett SG Caris LeVert UTIL Wendell Carter Jr.,,Cole Anthony,PG,0.12%,0
62,4655251069,rayray30 (15/16),288.91998,60.5,C Jakob Poeltl F Paolo Banchero G LOCKED PF Jabari Smith Jr. PG Tyrese Haliburton SF Cam Whitmore SG Reed Sheppard UTIL Franz Wagner,,Cameron Payne,G,0.12%,0
66,4655278021,Braylen2021,317.26,60.25,C Mitchell Robinson F LOCKED G Tyrese Haliburton PF Paolo Banchero PG Immanuel Quickley SF Scottie Barnes SG RJ Barrett UTIL LOCKED,,Aaron Holiday,PG,0.11%,0
66,4655497296,jeffrey364 (1/3),300.97,60.25,C Giannis Antetokounmpo F Ja'Kobe Walter G RJ Barrett PF Jabari Smith Jr. PG Andrew Nembhard SF Franz Wagner SG Cam Whitmore UTIL Caris LeVert,,Kevon Looney,C,0.08%,0
66,4655601378,ook427 (3/3),294.18,60.25,C Alperen Sengun F Pascal Siakam G Andrew Nembhard PF Obi Toppin PG Scottie Barnes SF Aaron Nesmith SG Brandin Podziemski UTIL LOCKED,,Jock Landale,C,0.07%,0
66,4655470459,jartin12x (1/2),280.61,60.25,C Myles Turner F LOCKED G Jalen Green PF Dillon Brooks PG Amen Thompson SF Aaron Nesmith SG Andrew Nembhard UTIL Tyrese Haliburton,,Orlando Robinson,C,0.07%,0.25
70,4655107398,manonacloud79 (1/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Karl-Anthony Towns,UTIL,0.06%,0
70,4655107399,manonacloud79 (2/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Ben Sheppard,G,0.06%,2.5
70,4655107400,manonacloud79 (3/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Thomas Bryant,C,0.06%,16.25
70,4655107401,manonacloud79 (4/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Dominick Barlow,F,0.05%,0
70,4655107402,manonacloud79 (5/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,AJ Lawson,SG,0.04%,6.5
70,4655107403,manonacloud79 (6/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Steven Adams,C,0.04%,4.75
70,4655107404,manonacloud79 (7/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,N'Faly Dante,C,0.04%,0
70,4655107405,manonacloud79 (8/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Jeff Green,PF,0.04%,0
70,4655107406,manonacloud79 (9/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Jae'Sean Tate,UTIL,0.03%,0
70,4655107407,manonacloud79 (10/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Keaton Wallace,G,0.03%,0
70,4655107408,manonacloud79 (11/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Tristan da Silva,PF,0.03%,4.75
70,4655107409,manonacloud79 (12/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Jett Howard,G,0.03%,2
70,4655107410,manonacloud79 (13/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Andre Jackson Jr.,F,0.02%,0
70,4655107411,manonacloud79 (14/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Bennedict Mathurin,SF,0.02%,0
70,4655107412,manonacloud79 (15/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Jarace Walker,SF,0.02%,3
70,4655107413,manonacloud79 (16/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Garrison Mathews,G,0.02%,0
70,4655107414,manonacloud79 (17/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Gary Harris,SF,0.02%,0
70,4655107415,manonacloud79 (18/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Ryan Rollins,G,0.02%,0
70,4655107416,manonacloud79 (19/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Landry Shamet,SG,0.02%,0
70,4655107417,manonacloud79 (20/20),320.95,60,C Alperen Sengun F Amen Thompson G LOCKED PF LOCKED PG Tyrese Haliburton SF LOCKED SG Andrew Nembhard UTIL Brandin Podziemski,,Nate Williams,SF,0.01%,0
