Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Max Strus (38042076),Max Strus,38042076,SG/SF/F/G/UTIL,4100,BKN@CLE 03/11/2025 07:00PM ET,CLE,21.39
SG/SF,Gary Trent Jr. (38042084),Gary Trent Jr.,38042084,SG/SF/F/G/UTIL,4100,MIL@IND 03/11/2025 07:30PM ET,MIL,18.12
PF,Derrick Jones Jr. (38042081),Derrick Jones Jr.,38042081,PF/F/UTIL,4100,LAC@NOP 03/11/2025 08:00PM ET,LAC,19.1
SF,Bruce Brown (38042089),Bruce Brown,38042089,SF/F/UTIL,4100,LAC@NOP 03/11/2025 08:00PM ET,NOP,16.44
SG,Tyrese Martin (38042092),Tyrese Martin,38042092,SG/G/UTIL,3800,BKN@CLE 03/11/2025 07:00PM ET,BKN,16.93
PG,Kevin Porter Jr. (38042103),Kevin Porter Jr.,38042103,PG/G/UTIL,3700,MIL@IND 03/11/2025 07:30PM ET,MIL,20.16
PF/C,Karlo Matkovic (38042095),Karlo Matkovic,38042095,PF/C/F/UTIL,3700,LAC@NOP 03/11/2025 08:00PM ET,NOP,15.74
PF/C,Nicolas Batum (38042099),Nicolas Batum,38042099,PF/C/F/UTIL,3700,LAC@NOP 03/11/2025 08:00PM ET,LAC,11.39
PF/C,Obi Toppin (38042106),Obi Toppin,38042106,PF/C/F/UTIL,3600,MIL@IND 03/11/2025 07:30PM ET,IND,19.47
SG,AJ Green (38042115),AJ Green,38042115,SG/G/UTIL,3600,MIL@IND 03/11/2025 07:30PM ET,MIL,14.7
SG/SF,Amir Coffey (38042110),Amir Coffey,38042110,SG/SF/F/G/UTIL,3600,LAC@NOP 03/11/2025 08:00PM ET,LAC,16.45
SG/SF,Jalen Wilson (38042118),Jalen Wilson,38042118,SG/SF/F/G/UTIL,3500,BKN@CLE 03/11/2025 07:00PM ET,BKN,17.36
SG/SF,Isaac Okoro (38042123),Isaac Okoro,38042123,SG/SF/F/G/UTIL,3500,BKN@CLE 03/11/2025 07:00PM ET,CLE,12.74
PF/C,Dean Wade (38042138),Dean Wade,38042138,PF/C/F/UTIL,3400,BKN@CLE 03/11/2025 07:00PM ET,CLE,16.43
SF,Ronald Holland II (38042130),Ronald Holland II,38042130,SF/F/UTIL,3400,WAS@DET 03/11/2025 07:00PM ET,DET,12.03
C,Thomas Bryant (38042128),Thomas Bryant,38042128,C/UTIL,3400,MIL@IND 03/11/2025 07:30PM ET,IND,15.7
