Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Min Actual,DK,Plus Minus,Player
1,Luke Kennard,3200,8.96,2.8,0.02,17835,8,-7.04,SG/SF,MEM,0.61,23.6,0,0,0,Luke Kennard
1,Precious Achiuwa,3900,12.28,3.15,0.02,17835,8,-7.22,C,NYK,1.35,22,12,7.5,11,Precious Achiuwa
1,Ryan Dunn,3400,13.93,4.1,0.02,17835,8,-3.07,PF,PHX,1.03,18.7,0,0,0,Ryan Dunn
1,Moussa Diabate,4500,5.33,1.18,0.02,17835,8,-17.17,C,CHA,0.58,15.7,16,9.3,-10,Moussa Diabate
1,Cameron Payne,3600,16.57,4.6,0.01,17835,8,-1.43,PG/SG,NYK,1.78,16.9,0,0,0,Cameron Payne
1,Jamal Shead,3000,1.96,0.65,0.01,17835,8,-13.04,PG,TOR,0.18,14.4,12,3.8,-14,Jamal Shead
1,Richaun Holmes,3000,6.58,2.19,0.01,17835,8,-8.42,C,WAS,0.93,13.2,0,0,0,Richaun Holmes
1,Jevon Carter,3000,2.51,0.84,0.01,17835,8,-12.49,PG/SG,CHI,0.21,12.6,1,1.3,-2,Jevon Carter
1,David Duke Jr.,3000,1.07,0.36,0.01,17835,8,-13.93,PG/SG,SAS,0.13,11.3,0,0,0,David Duke
1,Dillon Jones,3000,4.34,1.45,0.01,17835,8,-10.66,PF,OKC,0.41,10.8,0,0,0,Dillon Jones
1,Jaylon Tyson,4000,0.94,0.24,0.01,17835,8,-19.06,SG/SF,CLE,0.08,10.4,0,0,0,Jaylon Tyson
1,Zeke Nnaji,3000,1.52,0.51,0.01,17835,8,-13.48,C,DEN,0.19,9.4,3,0,-4,Zeke Nnaji
1,Hunter Tyson,3000,1.01,0.34,0.01,17835,8,-13.99,SF/PF,DEN,0.07,6.9,0,0,0,Hunter Tyson
2,Keldon Johnson,4500,26.58,5.91,47.03,19406,7,4.08,SF/PF,SAS,3.87,28.6,22,26.8,-11,Keldon Johnson
2,Stephon Castle,4800,26.81,5.59,44.65,19406,7,2.81,SG,SAS,3.46,26,29,32.3,-15,Stephon Castle
2,Tyrese Haliburton,8300,44.85,5.4,32.07,19406,7,3.35,PG,IND,6.63,32.9,38,45.5,5,Tyrese Haliburton
2,Jeremy Sochan,6100,32.88,5.39,31.59,19406,7,2.38,C,SAS,5.1,29.3,21,22.8,-13,Jeremy Sochan
2,Obi Toppin,3600,18.87,5.24,28.22,19406,7,0.87,PF/C,IND,2.47,20.7,21,36.3,0,Obi Toppin
2,D'Angelo Russell,5400,31.43,5.82,27.23,19406,7,4.43,PG,LAL,3.8,31.6,21,16.3,-4,DAngelo Russell
