Contest ID,Player Pool,Test MSE,Test R^2,Ownership Correlation,Configuration
16,387,11.05,0.729,0.855,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
17,173,20.283,0.702,0.863,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
18,246,21.39,0.545,0.781,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
19,280,17.941,0.503,0.751,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
20,247,12.621,0.723,0.876,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
21,177,24.286,0.694,0.846,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
22,247,23.476,0.59,0.779,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
23,141,19.897,0.797,0.92,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
Average,192.7,26.618,0.7,0.858,"depth=6, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
5,43,50.254,0.801,0.94,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
6,45,66.651,0.776,0.911,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
7,71,39.863,0.781,0.908,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
8,134,40.57,0.621,0.815,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
9,71,41.344,0.798,0.92,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
10,211,29.664,0.485,0.787,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
11,210,15.418,0.775,0.886,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
12,387,10.064,0.683,0.828,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
13,104,16.187,0.89,0.958,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
14,382,12.599,0.666,0.818,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
15,106,30.508,0.775,0.903,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
16,387,10.548,0.74,0.861,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
17,173,22.341,0.666,0.849,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
18,246,22.245,0.52,0.783,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
19,280,18.851,0.483,0.748,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
20,247,12.302,0.73,0.88,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
21,177,24.04,0.689,0.847,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
22,247,24.096,0.578,0.774,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
23,141,20.741,0.789,0.918,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
Average,192.7,26.714,0.696,0.858,"depth=6, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
5,43,47.973,0.807,0.945,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
6,45,71.255,0.755,0.903,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
7,71,37.42,0.796,0.918,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
8,134,42.413,0.601,0.814,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
9,71,46.078,0.778,0.91,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
10,211,27.591,0.521,0.795,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
11,210,16.629,0.756,0.883,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
12,387,10.175,0.679,0.825,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
13,104,14.823,0.9,0.963,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
14,382,13.839,0.635,0.799,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
15,106,34.436,0.743,0.895,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
16,387,11.521,0.714,0.846,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
17,173,22.662,0.66,0.845,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
18,246,21.386,0.533,0.788,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
19,280,18.102,0.505,0.759,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
20,247,13.841,0.698,0.869,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
21,177,26.427,0.658,0.834,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
22,247,24.833,0.556,0.764,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
23,141,21.304,0.782,0.919,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=250"
Average,192.7,26.749,0.697,0.857,"depth=7, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
5,43,49.551,0.802,0.942,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
6,45,74.047,0.746,0.898,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
7,71,40.243,0.781,0.914,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
8,134,45.67,0.576,0.809,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
9,71,52.427,0.745,0.896,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
10,211,26.905,0.531,0.805,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
11,210,17.489,0.744,0.879,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
12,387,9.865,0.688,0.831,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
13,104,16.712,0.887,0.957,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
14,382,14.454,0.619,0.793,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
15,106,33.45,0.751,0.897,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
16,387,12.974,0.675,0.822,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
17,173,24.387,0.633,0.832,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
18,246,23.263,0.491,0.782,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
19,280,18.417,0.496,0.755,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
20,247,12.392,0.732,0.882,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
21,177,26.687,0.656,0.838,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
22,247,25.673,0.537,0.757,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
23,141,22.486,0.769,0.914,"depth=5, learning_rate=0.1, l2_leaf_reg=3, iterations=500"
Average,192.7,26.752,0.697,0.86,"depth=5, learning_rate=0.05, l2_leaf_reg=9, iterations=500"
5,43,52.708,0.791,0.935,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
6,45,71.388,0.754,0.902,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
7,71,39.809,0.781,0.91,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
8,134,45.626,0.571,0.798,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
9,71,45.307,0.779,0.911,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
10,211,26.928,0.534,0.802,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
11,210,18.071,0.736,0.868,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
12,387,9.32,0.706,0.841,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
13,104,15.357,0.897,0.961,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
14,382,12.625,0.666,0.818,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
15,106,34.292,0.743,0.89,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
16,387,11.776,0.709,0.843,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
17,173,21.829,0.675,0.853,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
18,246,21.871,0.523,0.785,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
19,280,18.53,0.488,0.753,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
20,247,12.035,0.739,0.885,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
21,177,25.427,0.669,0.839,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
22,247,23.095,0.593,0.783,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
23,141,20.517,0.791,0.92,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=250"
Average,192.7,26.753,0.697,0.858,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=250"
5,43,50.681,0.799,0.939,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
6,45,77.844,0.732,0.891,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
7,71,45.326,0.747,0.9,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
8,134,46.524,0.567,0.8,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
9,71,45.595,0.775,0.911,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
10,211,25.453,0.553,0.806,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
11,210,17.793,0.74,0.871,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
12,387,9.552,0.7,0.837,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
13,104,14.909,0.9,0.963,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
14,382,13.14,0.652,0.813,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
15,106,36.781,0.723,0.889,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
16,387,12.627,0.685,0.829,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
17,173,22.182,0.666,0.848,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
18,246,23.183,0.492,0.783,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
19,280,19.159,0.468,0.747,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
20,247,11.555,0.751,0.889,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
21,177,27.2,0.641,0.83,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
22,247,24.961,0.559,0.767,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
23,141,20.515,0.793,0.919,"depth=5, learning_rate=0.1, l2_leaf_reg=5, iterations=500"
Average,192.7,26.759,0.698,0.857,"depth=7, learning_rate=0.05, l2_leaf_reg=5, iterations=250"
5,43,48.793,0.807,0.943,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
6,45,74.341,0.746,0.898,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
7,71,37.256,0.795,0.915,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
8,134,44.942,0.58,0.803,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
9,71,44.522,0.784,0.913,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
10,211,27.583,0.523,0.803,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
11,210,16.629,0.757,0.881,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
12,387,10.832,0.656,0.812,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
13,104,14.165,0.905,0.964,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
14,382,12.2,0.676,0.824,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
15,106,33.617,0.746,0.892,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
16,387,10.266,0.747,0.866,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
17,173,22.215,0.664,0.846,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
18,246,21.958,0.524,0.784,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
19,280,19.431,0.45,0.741,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
20,247,11.99,0.74,0.885,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
21,177,26.728,0.653,0.832,"depth=5, learning_rate=0.1, l2_leaf_reg=7, iterations=250"
