DK Name,Original_Ownership,Scaled_Ownership
Gui Santos,0.003,0.0083810483413409
Pat Spencer,0.003,0.0083810483413409
Quinten Post,0.003,0.0083810483413409
TyTy Washington Jr.,0.003,0.0083810483413409
Bol Bol,0.003,0.0083810483413409
Collin Gillespie,0.003,0.0083810483413409
Justin Minaya,0.003,0.0083810483413409
Duop Reath,0.003,0.0083810483413409
Bryce McGowens,0.003,0.0083810483413409
Taze Moore,0.003,0.0083810483413409
Matisse Thybulle,0.003,0.0083810483413409
Markieff Morris,0.003,0.0083810483413409
Jazian Gortman,0.01,0.008381048389521223
Kessler Edwards,0.003,0.0083810483413409
Brandon Williams,0.003,0.0083810483413409
Dante Exum,0.003,0.0083810483413409
Maxwell Lewis,0.003,0.0083810483413409
Bronny James,0.003,0.0083810483413409
Jalen Hood-Schifino,0.003,0.0083810483413409
Colby Jones,0.01,0.008381048389521223
Jordan McLaughlin,0.003,0.0083810483413409
Jae Crowder,0.003,0.0083810483413409
Orlando Robinson,0.003,0.0083810483413409
Mason Jones,0.003,0.0083810483413409
Isaiah Crawford,0.003,0.0083810483413409
Isaac Jones,0.003,0.0083810483413409
Devin Carter,0.003,0.0083810483413409
