PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Kevin Porter Jr. (37509656),Desmond Bane (37509420),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Spencer Dinwiddie (37509498),Naji Marshall (37509550),Quentin Grimes (37509557),297.28000000000003,400.13,49800,100.00%,4168,183.08%,0,208.71,$5.49,DAL 4,LAC 1,user41,1,marvalshot,11965,4630248022_41
Josh Giddey (37509444),Quentin Grimes (37509557),Matas Buzelis (37509624),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Damian Lillard (37509385),Giannis Antetokounmpo (37509355),Jaden Hardy (37509673),299.38,406.4,50000,100.00%,15926,236.12%,0,191.28,$7.08,CHI 3,DAL 3,user5,45,marvalshot,11978,4630248023_5
Cade Cunningham (37509362),Coby White (37509464),Amir Coffey (37509666),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Brandon Clarke (37509622),302.77,410.03,50000,100.00%,42377,3163.15%,68,190.65,$94.89,CHI 2,LAC 2,user27,1,marvalshot,12002,4630248024_27
Coby White (37509464),Kelly Oubre Jr. (37509455),Quentin Grimes (37509557),Patrick Williams (37509554),Brandon Clarke (37509622),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),299.79999999999995,402.43999999999994,50000,100.00%,18325,443.43%,1,185.93,$13.3,CHI 2,DAL 2,user4,1,marvalshot,12028,4630248025_4
Cade Cunningham (37509362),Klay Thompson (37509505),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Brandon Clarke (37509622),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),301.53000000000003,408.44000000000005,50000,100.00%,33951,1097.26%,1,209.07,$32.92,DAL 4,DET 1,user25,1,marvalshot,12062,4630248026_25
Cade Cunningham (37509362),Quentin Grimes (37509557),Klay Thompson (37509505),Naji Marshall (37509550),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),300.26,407.59,49800,100.00%,21748,277.94%,0,211.19,$8.34,DAL 4,LAC 2,user5,50,marvalshot,12042,4630248027_5
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Santi Aldama (37509528),Giannis Antetokounmpo (37509355),304.25,414.06,50000,100.00%,48572,2001.19%,54,226.35999999999999,$60.04,DAL 4,DET 1,user6,49,marvalshot,11837,4630248018_6
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),302.18,411.01,50000,100.00%,39727,460.0%,0,212.45,$13.8,DAL 4,DET 2,user6,50,marvalshot,1093,4630248019_6
Josh Giddey (37509444),Jaylen Brown (37509406),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),303.79,408.92,49600,100.00%,48086,3812.19%,10,200.2,$114.37,DAL 4,CHI 2,user9,1,marvalshot,11847,4630248020_9
Josh Giddey (37509444),Jaylen Brown (37509406),Klay Thompson (37509505),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Sam Merrill (37509684),Giannis Antetokounmpo (37509355),Jaden Hardy (37509673),291.54,394.21000000000004,49400,99.98%,13,100.83%,0,141.82,$3.03,DAL 3,CHI 2,user4,1,marvalshot,11879,4630248021_4
Donovan Mitchell (37509388),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Spencer Dinwiddie (37509498),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),297.14,400.54999999999995,50000,100.00%,3391,173.44%,0,200.64,$5.2,DAL 4,CLE 1,user3,1,marvalshot,11927,4630248022_3
Josh Giddey (37509444),Quentin Grimes (37509557),Matas Buzelis (37509624),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Damian Lillard (37509385),Giannis Antetokounmpo (37509355),Jaden Hardy (37509673),299.38,406.4,50000,100.00%,15926,236.12%,0,191.28,$7.08,CHI 3,DAL 3,user6,45,marvalshot,11978,4630248023_6
Cade Cunningham (37509362),Coby White (37509464),Klay Thompson (37509505),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Quentin Grimes (37509557),Kylor Kelley (37509901),302.4,400.21,50000,100.00%,41209,2138.05%,2,174.59,$64.14,DAL 4,CHI 2,user26,1,marvalshot,12001,4630248024_26
Coby White (37509464),Spencer Dinwiddie (37509498),Klay Thompson (37509505),Patrick Williams (37509554),Kylor Kelley (37509901),Cade Cunningham (37509362),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),299.84000000000003,402.52000000000004,49800,100.00%,18361,442.21%,1,184.1,$13.27,DAL 4,CHI 2,user6,2,marvalshot,3056,4630248025_6
Cade Cunningham (37509362),Luke Kennard (37509544),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Jarrett Allen (37509453),Kelly Oubre Jr. (37509455),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),301.40000000000003,403.87,50000,100.00%,33100,929.53%,4,194.35,$27.89,DAL 3,DET 1,user33,1,marvalshot,12070,4630248026_33
Cade Cunningham (37509362),Quentin Grimes (37509557),Klay Thompson (37509505),Naji Marshall (37509550),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),300.26,407.59,49800,100.00%,21748,277.94%,0,211.19,$8.34,DAL 4,LAC 2,user6,50,marvalshot,12042,4630248027_6
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Santi Aldama (37509528),Giannis Antetokounmpo (37509355),304.25,414.06,50000,100.00%,48572,2001.19%,54,226.35999999999999,$60.04,DAL 4,DET 1,user7,49,marvalshot,11837,4630248018_7
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),302.18,411.01,50000,100.00%,39727,460.0%,0,212.45,$13.8,DAL 4,DET 2,user7,50,marvalshot,1093,4630248019_7
Josh Giddey (37509444),Luke Kennard (37509544),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Kylor Kelley (37509901),303.14,402.59999999999997,49900,100.00%,43966,3786.14%,41,179.01,$113.58,DAL 3,CHI 2,user20,1,marvalshot,11858,4630248020_20
Josh Giddey (37509444),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Caris LeVert (37509603),Giannis Antetokounmpo (37509355),Khris Middleton (37509493),290.99,398.58000000000004,50000,99.99%,2,95.42%,0,169.64999999999998,$2.86,CHI 2,DAL 2,user8,1,marvalshot,11883,4630248021_8
