PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
AJ Green (37514934),Isaiah Joe (37514786),Christian Braun (37514621),Kyle Kuzma (37514544),Jalen Duren (37514537),Tyrese Haliburton (37514452),Aaron Gordon (37514723),Shai Gilgeous-Alexander (37514402),280.6,271.67999999999995,371.58,49000,0.01%,1.01%,-16.6%,23.52%,105.03,$-0.5,OKC 2,DEN 2,generated,1
Luke Kennard (37514694),Julian Strawther (37514915),Christian Braun (37514621),Miles Bridges (37514424),Nikola Jokic (37514396),Ryan Rollins (37515010),Michael Porter Jr. (37514568),Tari Eason (37514613),287.65,280.34000000000003,378.88,49100,0.0%,1.07%,-16.7%,29.85%,122.30000000000001,$-0.5,DEN 4,MEM 1,generated,1
Shai Gilgeous-Alexander (37514402),Nick Smith Jr. (37514676),Bilal Coulibaly (37514604),Aaron Wiggins (37514609),Mark Williams (37514441),Marjon Beauchamp (37515266),Santi Aldama (37514673),Malik Monk (37514495),281.83,274.37,376.6,50000,0.01%,0.97%,-16.7%,25.34%,89.09,$-0.5,OKC 2,CHA 2,generated,1
Cade Cunningham (37514407),Jordan Clarkson (37514626),Aaron Wiggins (37514609),Taurean Prince (37514752),Rudy Gobert (37514542),AJ Green (37514934),Aaron Gordon (37514723),Victor Wembanyama (37514405),283.18,276.24,372.67999999999995,49900,0.01%,1.01%,-16.7%,25.68%,110.46000000000001,$-0.5,MIL 2,DET 1,generated,1
Cade Cunningham (37514407),Isaiah Joe (37514786),Cam Whitmore (37514855),Tari Eason (37514613),Mark Williams (37514441),Jamal Murray (37514488),Aaron Gordon (37514723),Christian Braun (37514621),286.53,280.83,379.24,49200,0.0%,1.09%,-16.7%,28.81%,121.55000000000001,$-0.5,DEN 3,HOU 2,generated,1
Jalen Brunson (37514435),AJ Green (37514934),Cam Whitmore (37514855),Tari Eason (37514613),Rudy Gobert (37514542),Jamal Murray (37514488),Jae'Sean Tate (37514993),Shai Gilgeous-Alexander (37514402),283.35999999999996,273.94000000000005,375.39000000000004,49000,0.0%,1.1%,-16.7%,26.09%,104.72999999999999,$-0.5,HOU 3,NYK 1,generated,1
Jalen Brunson (37514435),Malik Monk (37514495),Aaron Wiggins (37514609),Jeremy Sochan (37514745),Jonas Valanciunas (37514579),Keon Ellis (37514889),Naz Reid (37514564),Tyrese Haliburton (37514452),285.18999999999994,281.88,373.43000000000006,49000,0.0%,1.1%,-16.7%,26.89%,135.64,$-0.5,SAC 2,NYK 1,generated,1
AJ Green (37514934),Anthony Edwards (37514420),Jaylen Wells (37514756),Josh Hart (37514475),Domantas Sabonis (37514413),Keon Ellis (37514889),Keegan Murray (37514707),Malik Monk (37514495),291.85999999999996,280.25,367.92999999999995,50000,0.0%,0.82%,-16.7%,32.45%,127.95,$-0.5,SAC 4,MIL 1,generated,1
Shai Gilgeous-Alexander (37514402),AJ Green (37514934),Bilal Coulibaly (37514604),Keegan Murray (37514707),Mark Williams (37514441),Malik Monk (37514495),Santi Aldama (37514673),Aaron Gordon (37514723),286.21000000000004,280.78,378.09,49300,0.0%,1.21%,-16.7%,29.29%,125.13000000000001,$-0.5,SAC 2,OKC 1,generated,1
Ryan Rollins (37515010),Luke Kennard (37514694),Amen Thompson (37514443),Miles Bridges (37514424),Domantas Sabonis (37514413),Devin Carter (37515219),Tobias Harris (37514576),Tari Eason (37514613),280.24,272.28999999999996,367.09,49200,0.01%,0.84%,-16.7%,22.26%,96.33,$-0.5,HOU 2,SAC 2,generated,1
Trae Young (37514415),Andre Jackson Jr. (37514872),Isaiah Joe (37514786),Precious Achiuwa (37514646),Karl-Anthony Towns (37514418),Julian Strawther (37514915),Pat Connaughton (37514974),Shai Gilgeous-Alexander (37514402),279.81,268.74,371.52,49800,0.01%,0.88%,-16.8%,23.02%,78.47,$-0.5,MIL 2,OKC 2,generated,1
Shai Gilgeous-Alexander (37514402),Cam Whitmore (37514855),Ausar Thompson (37514714),Keegan Murray (37514707),Nikola Jokic (37514396),Isaiah Joe (37514786),Santi Aldama (37514673),Aaron Gordon (37514723),285.17999999999995,281.52000000000004,385.4,50000,0.0%,1.28%,-16.8%,28.38%,117.36,$-0.5,OKC 2,DEN 2,generated,1
Vasilije Micic (37514659),Malik Monk (37514495),Devin Vassell (37514559),Naz Reid (37514564),Isaiah Hartenstein (37514486),Jamal Murray (37514488),Michael Porter Jr. (37514568),Aaron Gordon (37514723),288.57000000000005,280.92,370.66,49400,0.0%,0.94%,-16.8%,28.83%,113.75,$-0.5,DEN 3,CHA 1,generated,1
Cade Cunningham (37514407),Keon Ellis (37514889),Amen Thompson (37514443),Zaccharie Risacher (37514710),Karl-Anthony Towns (37514418),AJ Green (37514934),Christian Braun (37514621),Keldon Johnson (37514748),285.90999999999997,274.25,370.0200000000001,49100,0.01%,0.97%,-16.8%,27.48%,118.67,$-0.5,DET 1,SAC 1,generated,1
Cade Cunningham (37514407),Malik Monk (37514495),Taurean Prince (37514752),Miles Bridges (37514424),Onyeka Okongwu (37514523),Christian Braun (37514621),Jeremy Sochan (37514745),Ryan Rollins (37515010),282.6,274.34999999999997,373.64,50000,0.0%,1.16%,-16.8%,24.96%,100.53,$-0.5,MIL 2,DET 1,generated,1
