PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Cade Cunningham (37509362),Luke Kennard (37509544),Amir Coffey (37509666),Derrick Jones Jr. (37509562),Jalen Duren (37509462),Damian Lillard (37509385),Naji Marshall (37509550),Desmond Bane (37509420),281.78000000000003,370.74,49400,48.28%,0,-36.51%,0,187.73,$-1.1,DET 2,MEM 2,opp,1,justajoe2u,4992,4630133225
Josh Giddey (37509444),Kelly Oubre Jr. (37509455),Jaylen Brown (37509406),Jayson Tatum (37509368),Nikola Vucevic (37509400),Jaden Hardy (37509673),Jaylen Wells (37509577),Kevin Porter Jr. (37509656),281.59000000000003,371.65000000000003,49900,46.69%,0,-36.54%,0,119.58,$-1.1,CHI 2,BOS 2,opp,1,RunTheBasesMLB,4207,4630167971
Cade Cunningham (37509362),Khris Middleton (37509493),Jayson Tatum (37509368),Santi Aldama (37509528),Jalen Duren (37509462),Desmond Bane (37509420),Amir Coffey (37509666),Kylor Kelley (37509901),281.71999999999997,378.12,50000,47.75%,0,-36.71%,0,178.16,$-1.1,DET 2,MEM 2,opp,1,erjake,5337,4630369023
Josh Giddey (37509444),Coby White (37509464),Naji Marshall (37509550),Jaren Jackson Jr. (37509402),Jarrett Allen (37509453),Cade Cunningham (37509362),Dante Exum (37509910),Santi Aldama (37509528),281.7,379.18,49800,47.15%,0,-36.73%,0,147.01,$-1.1,CHI 2,DAL 2,opp,1,Firsttop931,1763,4630271134
James Harden (37509379),Quentin Grimes (37509557),Jayson Tatum (37509368),Kawhi Leonard (37509447),Kylor Kelley (37509901),Damian Lillard (37509385),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),281.71999999999997,377.53,49200,47.87%,0,-36.73%,0,169.74,$-1.1,DAL 4,LAC 2,opp,1,Stree,10577,4630279472
AJ Green (37509695),Jrue Holiday (37509516),Quentin Grimes (37509557),Naji Marshall (37509550),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Tyrese Maxey (37509365),281.71,379.12,49300,47.24%,0,-36.76%,0,157.57999999999998,$-1.1,MIL 2,DAL 2,opp,1,donmafia89,10644,4630294341
Coby White (37509464),Derrick White (37509458),Jayson Tatum (37509368),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Santi Aldama (37509528),Amir Coffey (37509666),281.7,369.97,49200,47.25%,0,-36.77%,0,170.75,$-1.1,CHI 2,BOS 2,opp,1,shawncornillot,2272,4630176793
Donovan Mitchell (37509388),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Brook Lopez (37509488),Cade Cunningham (37509362),Amir Coffey (37509666),Nikola Vucevic (37509400),281.7,372.49,49100,47.42%,0,-36.8%,0,173.69,$-1.1,DAL 2,DET 2,opp,1,fishkillers,1097,4630408558
Cade Cunningham (37509362),Desmond Bane (37509420),Klay Thompson (37509505),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Spencer Dinwiddie (37509498),Amir Coffey (37509666),RJ Barrett (37509428),281.68,371.24,49400,47.26%,0,-36.87%,0,163.95,$-1.11,DAL 3,LAC 2,opp,1,mvpkg,7605,4630407507
Luke Kennard (37509544),Sam Merrill (37509684),Quentin Grimes (37509557),Naji Marshall (37509550),Jalen Duren (37509462),Tyrese Maxey (37509365),Scottie Barnes (37509374),Nikola Vucevic (37509400),281.71000000000004,373.16,50000,47.69%,0,-36.88%,0,149.7,$-1.11,DAL 2,MEM 1,opp,1,jb101086,4265,4630226023
Jrue Holiday (37509516),Luke Kennard (37509544),Jayson Tatum (37509368),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Donovan Mitchell (37509388),Naji Marshall (37509550),Jalen Duren (37509462),281.66,375.66,49500,47.80%,0,-36.99%,0,156.01,$-1.11,BOS 2,DAL 2,opp,1,JASMOS,4036,4630058346
Cade Cunningham (37509362),Coby White (37509464),Naji Marshall (37509550),Jayson Tatum (37509368),Kylor Kelley (37509901),Jaylen Wells (37509577),Jaren Jackson Jr. (37509402),Kevin Porter Jr. (37509656),281.69,377.88,49100,47.06%,0,-37.01%,0,163.61999999999998,$-1.11,DAL 2,MEM 2,opp,1,byrnemichael21,2894,4630369190
Cade Cunningham (37509362),Luke Kennard (37509544),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Desmond Bane (37509420),Santi Aldama (37509528),Khris Middleton (37509493),281.70000000000005,380.44000000000005,49700,47.35%,0,-37.02%,0,171.35,$-1.11,MEM 3,LAC 2,opp,1,botobrody,7211,4630279050
Cade Cunningham (37509362),Gradey Dick (37509574),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Evan Mobley (37509411),Jaden Hardy (37509673),Quentin Grimes (37509557),Brandon Clarke (37509622),281.67,386.16,49000,46.47%,0,-37.11%,0,175.86,$-1.11,DAL 2,DET 1,opp,1,rtwcandy2021,7809,4630198272
Damian Lillard (37509385),Luke Kennard (37509544),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Jalen Duren (37509462),Desmond Bane (37509420),Olivier-Maxence Prosper (37509676),AJ Green (37509695),281.7,381.84000000000003,49100,47.26%,0,-37.19%,0,178.44,$-1.12,MIL 3,MEM 2,opp,1,roddog06,9621,4630118343
Derrick White (37509458),Spencer Dinwiddie (37509498),Jayson Tatum (37509368),Evan Mobley (37509411),Jalen Duren (37509462),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),281.63000000000005,377.24000000000007,50000,46.84%,0,-37.19%,0,133.32999999999998,$-1.12,BOS 2,DAL 2,opp,1,love245555,4261,4630222495
Cade Cunningham (37509362),Spencer Dinwiddie (37509498),Naji Marshall (37509550),Amir Coffey (37509666),Giannis Antetokounmpo (37509355),Malik Beasley (37509490),Khris Middleton (37509493),Quentin Grimes (37509557),281.78,380.34999999999997,49600,48.32%,0,-37.25%,0,191.56,$-1.12,DAL 3,DET 2,opp,1,Derek261970,7902,4630336466
Spencer Dinwiddie (37509498),Coby White (37509464),Amir Coffey (37509666),Giannis Antetokounmpo (37509355),Jakob Poeltl (37509451),Klay Thompson (37509505),Max Strus (37509523),Ivica Zubac (37509426),281.67,375.64000000000004,50000,46.81%,0,-37.28%,0,129.67000000000002,$-1.12,DAL 2,LAC 2,opp,1,Jarmaine22,5961,4630219412
Coby White (37509464),Ja'Kobe Walter (37509706),Jaylen Brown (37509406),Giannis Antetokounmpo (37509355),Jalen Duren (37509462),Caris LeVert (37509603),Olivier-Maxence Prosper (37509676),Darius Garland (37509423),281.65000000000003,384.07000000000005,49900,46.73%,0,-37.34%,0,123.09,$-1.12,CLE 2,CHI 1,opp,1,ttillie,4327,4630272443
Cade Cunningham (37509362),Luke Kennard (37509544),Ausar Thompson (37509531),Jaren Jackson Jr. (37509402),Jarrett Allen (37509453),Damian Lillard (37509385),Olivier-Maxence Prosper (37509676),Brandon Clarke (37509622),281.68,380.76,49800,46.71%,0,-37.54%,0,148.75,$-1.13,MEM 3,DET 2,opp,1,DetroitNative876,3683,4630384134
Tyrese Maxey (37509365),Khris Middleton (37509493),Dante Exum (37509910),Giannis Antetokounmpo (37509355),Jaren Jackson Jr. (37509402),Luke Kennard (37509544),Quentin Grimes (37509557),Kylor Kelley (37509901),281.67,383.42,49800,46.52%,0,-37.56%,0,150.75,$-1.13,DAL 3,MIL 2,opp,1,SGCapping,11306,4630421090
Coby White (37509464),Klay Thompson (37509505),Naji Marshall (37509550),Jayson Tatum (37509368),Evan Mobley (37509411),Desmond Bane (37509420),Quentin Grimes (37509557),Santi Aldama (37509528),281.69,373.82,49700,47.14%,0,-37.67%,0,184.95999999999998,$-1.13,DAL 3,MEM 2,opp,1,cw1tt,5879,4630167910
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Patrick Williams (37509554),Nikola Vucevic (37509400),Damian Lillard (37509385),Tobias Harris (37509485),Tyrese Maxey (37509365),281.59,371.65999999999997,49000,45.93%,0,-37.84%,0,153.93,$-1.14,CHI 2,LAC 1,opp,1,futurehendrix1,1036,4630162085
Josh Giddey (37509444),Derrick White (37509458),RJ Barrett (37509428),Giannis Antetokounmpo (37509355),Jarrett Allen (37509453),Luke Kennard (37509544),Olivier-Maxence Prosper (37509676),Jaden Hardy (37509673),281.58000000000004,381.06000000000006,49700,45.70%,0,-37.85%,0,138.13,$-1.14,DAL 2,CHI 1,opp,1,bpcologna,8575,4630027740
Damian Lillard (37509385),Coby White (37509464),Amir Coffey (37509666),Santi Aldama (37509528),Isaiah Stewart (37509737),Cade Cunningham (37509362),Khris Middleton (37509493),Nikola Vucevic (37509400),281.67,376.34000000000003,49500,46.76%,0,-37.85%,0,156.95999999999998,$-1.14,MIL 2,CHI 2,opp,1,gunnyhighway15,861,4630360203
Damian Lillard (37509385),Jaylen Brown (37509406),Ausar Thompson (37509531),Giannis Antetokounmpo (37509355),Guerschon Yabusele (37509473),Max Strus (37509523),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),281.57000000000005,380.5300000000001,50000,45.71%,0,-37.91%,0,128.13,$-1.14,MIL 2,DAL 2,opp,1,boardthecaptain27,8073,4630322642
Cade Cunningham (37509362),Luke Kennard (37509544),Quentin Grimes (37509557),Jayson Tatum (37509368),Jalen Duren (37509462),Jaylen Brown (37509406),Amir Coffey (37509666),Kylor Kelley (37509901),281.72,372.81000000000006,49200,47.61%,0,-37.95%,0,177.07,$-1.14,DET 2,DAL 2,opp,1,blazers1974,5056,4630206778
Josh Giddey (37509444),Gradey Dick (37509574),Quentin Grimes (37509557),Naji Marshall (37509550),Jalen Duren (37509462),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Jayson Tatum (37509368),281.68,377.37,49000,46.34%,0,-38.02%,0,185.36,$-1.14,DAL 3,DET 2,opp,1,SMP1993,3810,4630276941
Josh Giddey (37509444),Quentin Grimes (37509557),Jayson Tatum (37509368),Naji Marshall (37509550),Nikola Vucevic (37509400),Klay Thompson (37509505),Max Strus (37509523),Jalen Duren (37509462),281.73,373.91,49100,47.60%,0,-38.06%,0,161.85999999999999,$-1.14,DAL 3,CHI 2,opp,1,rroyfootball07,3569,4630376111
Cade Cunningham (37509362),Coby White (37509464),Khris Middleton (37509493),Giannis Antetokounmpo (37509355),Jakob Poeltl (37509451),Jaden Hardy (37509673),Olivier-Maxence Prosper (37509676),Dante Exum (37509910),281.63,387.15,49400,46.25%,0,-38.23%,0,143.7,$-1.15,DAL 3,MIL 2,opp,1,cypauerbach,2732,4630253423
Damian Lillard (37509385),Jaylen Brown (37509406),Naji Marshall (37509550),Jayson Tatum (37509368),Kylor Kelley (37509901),Desmond Bane (37509420),Santi Aldama (37509528),Amir Coffey (37509666),281.63,370.57,49600,46.33%,0,-38.29%,0,181.56,$-1.15,BOS 2,DAL 2,opp,1,Golfer671,10187,4630136090
Coby White (37509464),Quentin Grimes (37509557),Naji Marshall (37509550),Derrick Jones Jr. (37509562),Jalen Duren (37509462),Josh Giddey (37509444),Jaren Jackson Jr. (37509402),Jayson Tatum (37509368),281.69,376.0,49700,46.68%,0,-38.31%,0,156.65,$-1.15,CHI 2,DAL 2,opp,1,Dubbzz,3528,4630082245
